"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"GROSS RENT","","","",""
"    Occupied units paying rent","253,225","±7,066","253,225","(X)"
"    Less than $200","8,576","±1,141","3.4%","±0.5"
"    $200 to $299","10,015","±1,724","4.0%","±0.7"
"    $300 to $499","19,931","±3,277","7.9%","±1.3"
"    $500 to $749","54,157","±3,883","21.4%","±1.4"
"    $750 to $999","77,931","±4,750","30.8%","±1.7"
"    $1,000 to $1,499","60,453","±4,577","23.9%","±1.7"
"    $1,500 or more","22,162","±2,712","8.8%","±1.1"
"    Median (dollars)","853","±11","(X)","(X)"
"    No rent paid","11,901","±1,954","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","242,853","±6,687","242,853","(X)"
"    Less than 15.0 percent","21,575","±2,570","8.9%","±1.0"
"    15.0 to 19.9 percent","22,195","±2,645","9.1%","±1.0"
"    20.0 to 24.9 percent","27,797","±2,736","11.4%","±1.1"
"    25.0 to 29.9 percent","30,134","±3,166","12.4%","±1.2"
"    30.0 to 34.9 percent","17,157","±2,026","7.1%","±0.8"
"    35.0 percent or more","123,995","±5,190","51.1%","±1.8"
"    Not computed","22,273","±2,755","(X)","(X)"
