"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"        5 or more bedrooms","20,580","±1,873","3.1%","±0.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","577,862","±5,809","577,862","(X)"
"        Owner-occupied","300,561","±6,655","52.0%","±1.1"
"        Renter-occupied","277,301","±7,122","48.0%","±1.1"
"    Average household size of owner-occupied unit","2.74","±0.05","(X)","(X)"
"    Average household size of renter-occupied unit","2.47","±0.05","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","577,862","±5,809","577,862","(X)"
"        Moved in 2010 or later","223,220","±6,761","38.6%","±1.1"
"        Moved in 2000 to 2009","167,521","±5,447","29.0%","±0.9"
"        Moved in 1990 to 1999","77,252","±4,294","13.4%","±0.7"
"        Moved in 1980 to 1989","42,548","±2,599","7.4%","±0.5"
"        Moved in 1970 to 1979","31,547","±2,286","5.5%","±0.4"
"        Moved in 1969 or earlier","35,774","±2,254","6.2%","±0.4"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","577,862","±5,809","577,862","(X)"
"        No vehicles available","179,709","±5,876","31.1%","±1.0"
"        1 vehicle available","254,811","±6,953","44.1%","±1.0"
"        2 vehicles available","114,966","±4,427","19.9%","±0.8"
"        3 or more vehicles available","28,376","±2,440","4.9%","±0.4"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","577,862","±5,809","577,862","(X)"
"        Utility gas","445,068","±6,913","77.0%","±0.9"
"        Bottled, tank, or LP gas","5,448","±891","0.9%","±0.2"
"        Electricity","94,505","±4,158","16.4%","±0.7"
"        Fuel oil, kerosene, etc.","26,868","±2,202","4.6%","±0.4"
"        Coal or coke","543","±443","0.1%","±0.1"
"        Wood","642","±403","0.1%","±0.1"
"        Solar energy","208","±238","0.0%","±0.1"
"        Other fuel","2,106","±692","0.4%","±0.1"
"        No fuel used","2,474","±607","0.4%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","577,862","±5,809","577,862","(X)"
"        Lacking complete plumbing facilities","2,520","±841","0.4%","±0.1"
"        Lacking complete kitchen facilities","3,583","±917","0.6%","±0.2"
"        No telephone service available","14,881","±2,153","2.6%","±0.4"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","577,862","±5,809","577,862","(X)"
"        1.00 or less","565,160","±5,515","97.8%","±0.3"
"        1.01 to 1.50","8,851","±1,401","1.5%","±0.2"
"        1.51 or more","3,851","±972","0.7%","±0.2"
"VALUE","","","",""
"    Owner-occupied units","300,561","±6,655","300,561","(X)"
"        Less than $50,000","26,925","±2,184","9.0%","±0.7"
"        $50,000 to $99,999","64,420","±4,028","21.4%","±1.2"
"        $100,000 to $149,999","60,341","±3,246","20.1%","±1.0"
"        $150,000 to $199,999","56,611","±3,493","18.8%","±1.1"
"        $200,000 to $299,999","51,667","±3,008","17.2%","±0.9"
"        $300,000 to $499,999","28,214","±1,989","9.4%","±0.6"
"        $500,000 to $999,999","8,631","±1,124","2.9%","±0.4"
"        $1,000,000 or more","3,752","±799","1.2%","±0.3"
"        Median (dollars)","148,700","±3,778","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","300,561","±6,655","300,561","(X)"
"        Housing units with a mortgage","181,506","±5,471","60.4%","±1.2"
"        Housing units without a mortgage","119,055","±4,262","39.6%","±1.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","181,506","±5,471","181,506","(X)"
"        Less than $300","235","±230","0.1%","±0.1"
"        $300 to $499","4,159","±963","2.3%","±0.5"
"        $500 to $699","12,763","±1,574","7.0%","±0.9"
"        $700 to $999","38,396","±3,199","21.2%","±1.7"
"        $1,000 to $1,499","68,410","±4,545","37.7%","±2.1"
"        $1,500 to $1,999","31,933","±2,601","17.6%","±1.4"
"        $2,000 or more","25,610","±2,478","14.1%","±1.3"
"        Median (dollars)","1,217","±19","(X)","(X)"
"    Housing units without a mortgage","119,055","±4,262","119,055","(X)"
"        Less than $100","1,343","±409","1.1%","±0.3"
"        $100 to $199","6,225","±1,076","5.2%","±0.9"
"        $200 to $299","19,724","±2,215","16.6%","±1.7"
"        $300 to $399","23,128","±2,037","19.4%","±1.7"
"        $400 or more","68,635","±3,666","57.6%","±2.2"
"        Median (dollars)","440","±11","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","179,437","±5,521","179,437","(X)"
"        Less than 20.0 percent","70,682","±3,940","39.4%","±1.9"
"        20.0 to 24.9 percent","23,232","±2,484","12.9%","±1.4"
"        25.0 to 29.9 percent","15,450","±2,068","8.6%","±1.1"
"        30.0 to 34.9 percent","15,078","±1,715","8.4%","±0.9"
"        35.0 percent or more","54,995","±3,221","30.6%","±1.5"
"    Not computed","2,069","±905","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","116,090","±4,191","116,090","(X)"
"        Less than 10.0 percent","38,966","±2,436","33.6%","±1.8"
"        10.0 to 14.9 percent","19,789","±1,917","17.0%","±1.5"
"        15.0 to 19.9 percent","14,109","±1,828","12.2%","±1.5"
"        20.0 to 24.9 percent","9,681","±1,469","8.3%","±1.2"
"        25.0 to 29.9 percent","6,483","±1,237","5.6%","±1.1"
"        30.0 to 34.9 percent","5,202","±1,020","4.5%","±0.8"
"        35.0 percent or more","21,860","±2,248","18.8%","±1.7"
"    Not computed","2,965","±907","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","265,293","±7,091","265,293","(X)"
"        Less than $200","5,486","±1,063","2.1%","±0.4"
"        $200 to $299","11,559","±1,391","4.4%","±0.5"
"        $300 to $499","15,894","±1,713","6.0%","±0.7"
"        $500 to $749","47,318","±3,490","17.8%","±1.2"
"        $750 to $999","73,307","±4,699","27.6%","±1.7"
"        $1,000 to $1,499","80,211","±5,468","30.2%","±1.8"
"        $1,500 or more","31,518","±2,906","11.9%","±1.0"
"        Median (dollars)","936","±14","(X)","(X)"
"    No rent paid","12,008","±1,937","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","254,585","±7,349","254,585","(X)"
"        Less than 15.0 percent","26,328","±2,997","10.3%","±1.1"
"        15.0 to 19.9 percent","26,086","±2,738","10.2%","±1.1"
"        20.0 to 24.9 percent","25,274","±2,265","9.9%","±0.9"
"        25.0 to 29.9 percent","30,584","±2,580","12.0%","±1.0"
"        30.0 to 34.9 percent","20,990","±2,650","8.2%","±1.0"
"        35.0 percent or more","125,323","±6,244","49.2%","±1.9"
"    Not computed","22,716","±2,522","(X)","(X)"
