"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"    Occupied housing units","580,205","±5,087","580,205","(X)"
"        Owner-occupied","302,498","±6,177","52.1%","±0.9"
"        Renter-occupied","277,707","±5,673","47.9%","±0.9"
"    Average household size of owner-occupied unit","2.72","±0.05","(X)","(X)"
"    Average household size of renter-occupied unit","2.51","±0.06","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","580,205","±5,087","580,205","(X)"
"        Moved in 2015 or later","121,417","±5,299","20.9%","±0.9"
"        Moved in 2010 to 2014","158,193","±5,486","27.3%","±0.9"
"        Moved in 2000 to 2009","135,338","±4,805","23.3%","±0.8"
"        Moved in 1990 to 1999","65,507","±4,135","11.3%","±0.7"
"        Moved in 1980 to 1989","41,360","±2,872","7.1%","±0.5"
"        Moved in 1979 and earlier","58,390","±2,957","10.1%","±0.5"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","580,205","±5,087","580,205","(X)"
"        No vehicles available","171,131","±6,301","29.5%","±1.1"
"        1 vehicle available","253,512","±6,742","43.7%","±1.1"
"        2 vehicles available","120,334","±5,489","20.7%","±0.9"
"        3 or more vehicles available","35,228","±3,331","6.1%","±0.6"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","580,205","±5,087","580,205","(X)"
"        Utility gas","424,871","±5,652","73.2%","±0.8"
"        Bottled, tank, or LP gas","6,868","±1,095","1.2%","±0.2"
"        Electricity","117,838","±4,981","20.3%","±0.8"
"        Fuel oil, kerosene, etc.","24,046","±2,277","4.1%","±0.4"
"        Coal or coke","219","±197","0.0%","±0.1"
"        Wood","1,561","±892","0.3%","±0.2"
"        Solar energy","85","±100","0.0%","±0.1"
"        Other fuel","1,889","±702","0.3%","±0.1"
"        No fuel used","2,828","±663","0.5%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","580,205","±5,087","580,205","(X)"
"        Lacking complete plumbing facilities","2,489","±835","0.4%","±0.1"
"        Lacking complete kitchen facilities","4,811","±1,339","0.8%","±0.2"
"        No telephone service available","18,378","±2,221","3.2%","±0.4"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","580,205","±5,087","580,205","(X)"
"        1.00 or less","564,237","±5,373","97.2%","±0.3"
"        1.01 to 1.50","9,396","±1,528","1.6%","±0.3"
"        1.51 or more","6,572","±1,391","1.1%","±0.2"
"VALUE","","","",""
"    Owner-occupied units","302,498","±6,177","302,498","(X)"
"        Less than $50,000","22,626","±2,295","7.5%","±0.7"
"        $50,000 to $99,999","65,551","±3,673","21.7%","±1.2"
"        $100,000 to $149,999","57,893","±3,937","19.1%","±1.2"
"        $150,000 to $199,999","53,870","±3,570","17.8%","±1.1"
"        $200,000 to $299,999","56,163","±3,365","18.6%","±1.1"
"        $300,000 to $499,999","29,544","±2,511","9.8%","±0.8"
"        $500,000 to $999,999","12,823","±1,568","4.2%","±0.5"
"        $1,000,000 or more","4,028","±831","1.3%","±0.3"
"        Median (dollars)","154,000","±3,156","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","302,498","±6,177","302,498","(X)"
"        Housing units with a mortgage","179,235","±5,471","59.3%","±1.3"
"        Housing units without a mortgage","123,263","±4,634","40.7%","±1.3"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","179,235","±5,471","179,235","(X)"
"        Less than $500","4,816","±938","2.7%","±0.5"
"        $500 to $999","54,356","±3,308","30.3%","±1.7"
"        $1,000 to $1,499","60,336","±3,674","33.7%","±1.8"
"        $1,500 to $1,999","33,333","±2,806","18.6%","±1.4"
"        $2,000 to $2,499","13,308","±1,581","7.4%","±0.9"
"        $2,500 to $2,999","6,120","±1,112","3.4%","±0.6"
"        $3,000 or more","6,966","±1,065","3.9%","±0.6"
"        Median (dollars)","1,236","±22","(X)","(X)"
"    Housing units without a mortgage","123,263","±4,634","123,263","(X)"
"        Less than $250","16,196","±1,854","13.1%","±1.4"
"        $250 to $399","43,041","±2,514","34.9%","±1.9"
"        $400 to $599","39,368","±3,042","31.9%","±2.2"
"        $600 to $799","14,952","±2,139","12.1%","±1.6"
"        $800 to $999","4,284","±894","3.5%","±0.7"
"        $1,000 or more","5,422","±1,123","4.4%","±0.9"
"        Median (dollars)","410","±10","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","175,377","±5,446","175,377","(X)"
"        Less than 20.0 percent","75,244","±3,799","42.9%","±1.7"
"        20.0 to 24.9 percent","22,797","±2,206","13.0%","±1.2"
"        25.0 to 29.9 percent","16,296","±1,732","9.3%","±0.9"
"        30.0 to 34.9 percent","12,336","±1,914","7.0%","±1.1"
"        35.0 percent or more","48,704","±3,104","27.8%","±1.5"
"    Not computed","3,858","±1,195","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","116,702","±4,577","116,702","(X)"
"        Less than 10.0 percent","42,877","±2,985","36.7%","±2.0"
"        10.0 to 14.9 percent","21,433","±2,025","18.4%","±1.7"
"        15.0 to 19.9 percent","13,999","±2,040","12.0%","±1.7"
"        20.0 to 24.9 percent","9,102","±1,490","7.8%","±1.3"
"        25.0 to 29.9 percent","8,307","±1,307","7.1%","±1.1"
"        30.0 to 34.9 percent","4,463","±1,079","3.8%","±0.9"
"        35.0 percent or more","16,521","±1,868","14.2%","±1.5"
"    Not computed","6,561","±1,460","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","267,184","±5,688","267,184","(X)"
"        Less than $500","30,392","±2,925","11.4%","±1.1"
"        $500 to $999","109,924","±5,479","41.1%","±1.8"
"        $1,000 to $1,499","85,575","±4,399","32.0%","±1.6"
"        $1,500 to $1,999","25,919","±2,547","9.7%","±0.9"
"        $2,000 to $2,499","8,984","±1,554","3.4%","±0.6"
"        $2,500 to $2,999","3,453","±774","1.3%","±0.3"
"        $3,000 or more","2,937","±848","1.1%","±0.3"
"        Median (dollars)","976","±16","(X)","(X)"
"    No rent paid","10,523","±1,716","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","250,113","±5,526","250,113","(X)"
"        Less than 15.0 percent","28,039","±2,462","11.2%","±0.9"
"        15.0 to 19.9 percent","31,850","±2,936","12.7%","±1.2"
"        20.0 to 24.9 percent","29,350","±3,033","11.7%","±1.2"
"        25.0 to 29.9 percent","27,435","±2,706","11.0%","±1.1"
"        30.0 to 34.9 percent","18,916","±2,289","7.6%","±0.9"
"        35.0 percent or more","114,523","±5,201","45.8%","±1.6"
"    Not computed","27,594","±2,886","(X)","(X)"
