"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Estimate Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"    9 rooms or more","35,867","±3,133","5.4%","±0.5"
"    Median rooms","5.6","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","670,022","±4,073","670,022","(X)"
"    No bedroom","27,301","±3,278","4.1%","±0.5"
"    1 bedroom","112,247","±5,249","16.8%","±0.8"
"    2 bedrooms","143,792","±5,125","21.5%","±0.8"
"    3 bedrooms","304,220","±6,710","45.4%","±0.9"
"    4 bedrooms","59,577","±3,692","8.9%","±0.6"
"    5 or more bedrooms","22,885","±2,245","3.4%","±0.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","575,413","±6,623","575,413","(X)"
"    Owner-occupied","311,284","±6,713","54.1%","±1.0"
"    Renter-occupied","264,129","±6,251","45.9%","±1.0"
"    Average household size of owner-occupied unit","2.73","±0.05","(X)","(X)"
"    Average household size of renter-occupied unit","2.39","±0.05","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","575,413","±6,623","575,413","(X)"
"    Moved in 2005 or later","256,587","±6,780","44.6%","±1.0"
"    Moved in 2000 to 2004","88,270","±4,755","15.3%","±0.8"
"    Moved in 1990 to 1999","90,818","±4,842","15.8%","±0.8"
"    Moved in 1980 to 1989","50,188","±2,944","8.7%","±0.5"
"    Moved in 1970 to 1979","38,769","±2,641","6.7%","±0.5"
"    Moved in 1969 or earlier","50,781","±2,930","8.8%","±0.5"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","575,413","±6,623","575,413","(X)"
"    No vehicles available","199,247","±6,180","34.6%","±1.0"
"    1 vehicle available","245,851","±6,526","42.7%","±1.1"
"    2 vehicles available","106,164","±4,819","18.5%","±0.8"
"    3 or more vehicles available","24,151","±2,434","4.2%","±0.4"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","575,413","±6,623","575,413","(X)"
"    Utility gas","454,812","±6,634","79.0%","±0.8"
"    Bottled, tank, or LP gas","5,143","±1,102","0.9%","±0.2"
"    Electricity","77,309","±4,092","13.4%","±0.7"
"    Fuel oil, kerosene, etc.","34,565","±2,540","6.0%","±0.4"
"    Coal or coke","418","±266","0.1%","±0.1"
"    Wood","377","±238","0.1%","±0.1"
"    Solar energy","0","±246","0.0%","±0.1"
"    Other fuel","1,014","±487","0.2%","±0.1"
"    No fuel used","1,775","±614","0.3%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","575,413","±6,623","575,413","(X)"
"    Lacking complete plumbing facilities","5,383","±1,406","0.9%","±0.2"
"    Lacking complete kitchen facilities","7,875","±1,768","1.4%","±0.3"
"    No telephone service available","27,108","±2,965","4.7%","±0.5"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","575,413","±6,623","575,413","(X)"
"    1.00 or less","562,530","±6,768","97.8%","±0.3"
"    1.01 to 1.50","9,279","±1,537","1.6%","±0.3"
"    1.51 or more","3,604","±1,099","0.6%","±0.2"
"VALUE","","","",""
"    Owner-occupied units","311,284","±6,713","311,284","(X)"
"    Less than $50,000","33,764","±2,606","10.8%","±0.8"
"    $50,000 to $99,999","68,240","±3,817","21.9%","±1.2"
"    $100,000 to $149,999","61,332","±3,741","19.7%","±1.1"
"    $150,000 to $199,999","48,035","±3,366","15.4%","±0.9"
"    $200,000 to $299,999","60,083","±3,600","19.3%","±1.1"
"    $300,000 to $499,999","29,037","±2,475","9.3%","±0.8"
"    $500,000 to $999,999","8,231","±1,265","2.6%","±0.4"
"    $1,000,000 or more","2,562","±791","0.8%","±0.3"
"    Median (dollars)","142,800","±3,311","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","311,284","±6,713","311,284","(X)"
"    Housing units with a mortgage","185,094","±6,391","59.5%","±1.4"
"    Housing units without a mortgage","126,190","±4,615","40.5%","±1.4"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","185,094","±6,391","185,094","(X)"
"    Less than $300","441","±404","0.2%","±0.2"
"    $300 to $499","6,099","±1,228","3.3%","±0.6"
"    $500 to $699","16,826","±2,015","9.1%","±1.0"
"    $700 to $999","42,327","±3,283","22.9%","±1.5"
"    $1,000 to $1,499","64,021","±4,238","34.6%","±1.9"
"    $1,500 to $1,999","30,613","±2,409","16.5%","±1.3"
"    $2,000 or more","24,767","±2,137","13.4%","±1.1"
"    Median (dollars)","1,197","±22","(X)","(X)"
"    Housing units without a mortgage","126,190","±4,615","126,190","(X)"
"    Less than $100","1,165","±446","0.9%","±0.4"
"    $100 to $199","8,770","±1,374","6.9%","±1.0"
"    $200 to $299","22,345","±2,611","17.7%","±1.9"
"    $300 to $399","30,583","±2,401","24.2%","±1.8"
"    $400 or more","63,327","±3,627","50.2%","±2.4"
"    Median (dollars)","401","±12","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","181,002","±6,331","181,002","(X)"
"    Less than 20.0 percent","58,870","±4,295","32.5%","±1.9"
"    20.0 to 24.9 percent","25,934","±2,743","14.3%","±1.5"
"    25.0 to 29.9 percent","21,476","±2,278","11.9%","±1.3"
"    30.0 to 34.9 percent","18,343","±2,203","10.1%","±1.2"
"    35.0 percent or more","56,379","±3,585","31.1%","±1.6"
"    Not computed","4,092","±1,493","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","122,817","±4,747","122,817","(X)"
"    Less than 10.0 percent","38,428","±3,415","31.3%","±2.3"
"    10.0 to 14.9 percent","20,891","±2,246","17.0%","±1.7"
"    15.0 to 19.9 percent","17,535","±2,126","14.3%","±1.7"
"    20.0 to 24.9 percent","10,181","±1,520","8.3%","±1.2"
"    25.0 to 29.9 percent","8,250","±1,343","6.7%","±1.1"
"    30.0 to 34.9 percent","5,305","±1,056","4.3%","±0.8"
"    35.0 percent or more","22,227","±2,423","18.1%","±1.9"
"    Not computed","3,373","±1,076","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","251,069","±6,330","251,069","(X)"
"    Less than $200","8,846","±1,637","3.5%","±0.6"
"    $200 to $299","11,550","±1,728","4.6%","±0.7"
"    $300 to $499","21,357","±2,745","8.5%","±1.1"
"    $500 to $749","53,055","±3,676","21.1%","±1.4"
"    $750 to $999","73,877","±4,787","29.4%","±1.7"
"    $1,000 to $1,499","60,172","±4,344","24.0%","±1.6"
"    $1,500 or more","22,212","±2,174","8.8%","±0.9"
"    Median (dollars)","836","±13","(X)","(X)"
"    No rent paid","13,060","±1,988","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","238,432","±6,795","238,432","(X)"
"    Less than 15.0 percent","20,374","±2,141","8.5%","±0.9"
"    15.0 to 19.9 percent","26,471","±3,191","11.1%","±1.2"
"    20.0 to 24.9 percent","25,494","±3,409","10.7%","±1.4"
"    25.0 to 29.9 percent","25,721","±2,913","10.8%","±1.3"
"    30.0 to 34.9 percent","20,434","±2,843","8.6%","±1.1"
"    35.0 percent or more","119,938","±6,357","50.3%","±2.1"
"    Not computed","25,697","±2,720","(X)","(X)"
