"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","200,960","±7,421","200,960","(X)"
"        Less than 20.0 percent","99,270","±5,091","49.4%","±2.2"
"        20.0 to 24.9 percent","22,435","±3,174","11.2%","±1.5"
"        25.0 to 29.9 percent","16,188","±2,554","8.1%","±1.3"
"        30.0 to 34.9 percent","12,639","±1,920","6.3%","±0.9"
"        35.0 percent or more","50,428","±4,862","25.1%","±2.0"
"        Not computed","1,920","±1,128","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","141,295","±5,731","141,295","(X)"
"        Less than 10.0 percent","54,889","±3,944","38.8%","±2.4"
"        10.0 to 14.9 percent","24,279","±3,430","17.2%","±2.2"
"        15.0 to 19.9 percent","13,418","±2,218","9.5%","±1.5"
"        20.0 to 24.9 percent","13,964","±2,460","9.9%","±1.7"
"        25.0 to 29.9 percent","6,810","±1,490","4.8%","±1.0"
"        30.0 to 34.9 percent","5,296","±1,541","3.7%","±1.1"
"        35.0 percent or more","22,639","±2,997","16.0%","±2.1"
"        Not computed","4,760","±1,520","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","298,980","±7,900","298,980","(X)"
"        Less than $500","27,332","±3,488","9.1%","±1.2"
"        $500 to $999","73,628","±5,836","24.6%","±1.9"
"        $1,000 to $1,499","121,112","±7,414","40.5%","±2.1"
"        $1,500 to $1,999","46,705","±3,798","15.6%","±1.2"
"        $2,000 to $2,499","16,752","±2,856","5.6%","±1.0"
"        $2,500 to $2,999","5,295","±1,430","1.8%","±0.5"
"        $3,000 or more","8,156","±1,739","2.7%","±0.6"
"        Median (dollars)","1,181","±18","(X)","(X)"
"        No rent paid","13,006","±2,448","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","290,133","±8,110","290,133","(X)"
"        Less than 15.0 percent","38,605","±3,870","13.3%","±1.2"
"        15.0 to 19.9 percent","33,473","±3,171","11.5%","±1.1"
"        20.0 to 24.9 percent","33,057","±3,841","11.4%","±1.3"
"        25.0 to 29.9 percent","32,583","±3,373","11.2%","±1.1"
"        30.0 to 34.9 percent","25,801","±3,372","8.9%","±1.1"
"        35.0 percent or more","126,614","±7,245","43.6%","±2.0"
"        Not computed","21,853","±3,440","(X)","(X)"
