"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"        Moved in 2010 to 2014","128,502","±5,264","21.2%","±0.8"
"        Moved in 2000 to 2009","137,956","±5,771","22.8%","±1.0"
"        Moved in 1990 to 1999","70,118","±4,102","11.6%","±0.7"
"        Moved in 1980 to 1989","38,402","±2,829","6.3%","±0.5"
"        Moved in 1979 and earlier","58,771","±3,090","9.7%","±0.5"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","606,142","±4,673","606,142","(X)"
"        No vehicles available","196,431","±6,479","32.4%","±1.0"
"        1 vehicle available","263,251","±6,901","43.4%","±1.1"
"        2 vehicles available","110,261","±4,722","18.2%","±0.8"
"        3 or more vehicles available","36,199","±2,759","6.0%","±0.5"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","606,142","±4,673","606,142","(X)"
"        Utility gas","456,536","±5,758","75.3%","±0.9"
"        Bottled, tank, or LP gas","5,240","±1,032","0.9%","±0.2"
"        Electricity","118,179","±5,198","19.5%","±0.8"
"        Fuel oil, kerosene, etc.","20,064","±2,380","3.3%","±0.4"
"        Coal or coke","96","±117","0.0%","±0.1"
"        Wood","622","±369","0.1%","±0.1"
"        Solar energy","131","±224","0.0%","±0.1"
"        Other fuel","1,641","±648","0.3%","±0.1"
"        No fuel used","3,633","±901","0.6%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","606,142","±4,673","606,142","(X)"
"        Lacking complete plumbing facilities","3,252","±910","0.5%","±0.1"
"        Lacking complete kitchen facilities","6,213","±1,333","1.0%","±0.2"
"        No telephone service available","12,453","±2,189","2.1%","±0.4"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","606,142","±4,673","606,142","(X)"
"        1.00 or less","590,186","±5,055","97.4%","±0.4"
"        1.01 to 1.50","10,234","±1,849","1.7%","±0.3"
"        1.51 or more","5,722","±1,541","0.9%","±0.3"
"VALUE","","","",""
"    Owner-occupied units","296,863","±6,050","296,863","(X)"
"        Less than $50,000","17,513","±1,822","5.9%","±0.6"
"        $50,000 to $99,999","55,148","±3,228","18.6%","±1.0"
"        $100,000 to $149,999","56,932","±4,080","19.2%","±1.3"
"        $150,000 to $199,999","53,265","±3,391","17.9%","±1.1"
"        $200,000 to $299,999","59,627","±3,288","20.1%","±1.0"
"        $300,000 to $499,999","33,953","±2,753","11.4%","±0.9"
"        $500,000 to $999,999","16,271","±1,802","5.5%","±0.6"
"        $1,000,000 or more","4,154","±964","1.4%","±0.3"
"        Median (dollars)","166,200","±3,549","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","296,863","±6,050","296,863","(X)"
"        Housing units with a mortgage","178,805","±6,045","60.2%","±1.5"
"        Housing units without a mortgage","118,058","±4,736","39.8%","±1.5"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","178,805","±6,045","178,805","(X)"
"        Less than $500","4,312","±977","2.4%","±0.5"
"        $500 to $999","51,045","±3,785","28.5%","±1.7"
"        $1,000 to $1,499","60,723","±3,527","34.0%","±1.8"
"        $1,500 to $1,999","33,691","±2,911","18.8%","±1.5"
"        $2,000 to $2,499","10,940","±1,220","6.1%","±0.7"
"        $2,500 to $2,999","8,192","±1,348","4.6%","±0.7"
"        $3,000 or more","9,902","±1,511","5.5%","±0.8"
"        Median (dollars)","1,274","±28","(X)","(X)"
"    Housing units without a mortgage","118,058","±4,736","118,058","(X)"
"        Less than $250","14,483","±1,650","12.3%","±1.4"
"        $250 to $399","36,931","±3,021","31.3%","±2.4"
"        $400 to $599","42,179","±3,401","35.7%","±2.3"
"        $600 to $799","14,002","±1,685","11.9%","±1.3"
"        $800 to $999","4,833","±1,040","4.1%","±0.8"
"        $1,000 or more","5,630","±999","4.8%","±0.8"
"        Median (dollars)","432","±11","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","175,282","±5,866","175,282","(X)"
"        Less than 20.0 percent","79,999","±4,904","45.6%","±2.4"
"        20.0 to 24.9 percent","21,612","±2,284","12.3%","±1.3"
"        25.0 to 29.9 percent","17,731","±2,240","10.1%","±1.2"
"        30.0 to 34.9 percent","11,931","±2,040","6.8%","±1.1"
"        35.0 percent or more","44,009","±3,621","25.1%","±1.9"
"    Not computed","3,523","±1,123","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","111,972","±4,403","111,972","(X)"
"        Less than 10.0 percent","41,404","±2,722","37.0%","±2.0"
"        10.0 to 14.9 percent","18,773","±2,246","16.8%","±1.8"
"        15.0 to 19.9 percent","14,929","±2,018","13.3%","±1.7"
"        20.0 to 24.9 percent","10,636","±1,789","9.5%","±1.5"
"        25.0 to 29.9 percent","5,711","±1,016","5.1%","±0.9"
"        30.0 to 34.9 percent","4,227","±1,082","3.8%","±1.0"
"        35.0 percent or more","16,292","±2,026","14.6%","±1.8"
"    Not computed","6,086","±1,554","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","286,192","±7,019","286,192","(X)"
"        Less than $500","34,485","±3,115","12.0%","±1.0"
"        $500 to $999","119,646","±5,359","41.8%","±1.5"
"        $1,000 to $1,499","90,256","±4,629","31.5%","±1.5"
"        $1,500 to $1,999","26,427","±2,602","9.2%","±0.9"
"        $2,000 to $2,499","9,892","±1,668","3.5%","±0.6"
"        $2,500 to $2,999","3,611","±987","1.3%","±0.3"
"        $3,000 or more","1,875","±559","0.7%","±0.2"
"        Median (dollars)","969","±13","(X)","(X)"
"    No rent paid","23,087","±2,519","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","246,758","±7,063","246,758","(X)"
"        Less than 15.0 percent","29,944","±2,791","12.1%","±1.2"
"        15.0 to 19.9 percent","31,002","±2,700","12.6%","±1.1"
"        20.0 to 24.9 percent","25,606","±2,491","10.4%","±1.0"
"        25.0 to 29.9 percent","27,885","±3,375","11.3%","±1.3"
"        30.0 to 34.9 percent","22,301","±2,372","9.0%","±0.9"
"        35.0 percent or more","110,020","±6,226","44.6%","±2.0"
"    Not computed","62,521","±4,388","(X)","(X)"
