"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"    35.0 percent or more","20,370","±1,912","16.7%","±1.5"
"    Not computed","1,934","±614","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","265,588","±6,476","265,588","(X)"
"    Less than $200","9,639","±1,629","3.6%","±0.6"
"    $200 to $299","9,561","±1,656","3.6%","±0.6"
"    $300 to $499","19,077","±2,512","7.2%","±0.9"
"    $500 to $749","53,698","±3,668","20.2%","±1.2"
"    $750 to $999","79,820","±4,766","30.1%","±1.7"
"    $1,000 to $1,499","67,868","±3,942","25.6%","±1.4"
"    $1,500 or more","25,925","±2,318","9.8%","±0.8"
"    Median (dollars)","876","±12","(X)","(X)"
"    No rent paid","11,735","±2,082","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","252,747","±6,633","252,747","(X)"
"    Less than 15.0 percent","24,791","±2,501","9.8%","±1.0"
"    15.0 to 19.9 percent","25,719","±2,720","10.2%","±1.1"
"    20.0 to 24.9 percent","29,180","±2,998","11.5%","±1.1"
"    25.0 to 29.9 percent","29,151","±2,619","11.5%","±1.0"
"    30.0 to 34.9 percent","22,205","±2,334","8.8%","±0.9"
"    35.0 percent or more","121,701","±4,831","48.2%","±1.3"
"    Not computed","24,576","±2,516","(X)","(X)"
