"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"        3 or more vehicles available","35,006","±3,432","5.7%","±0.6"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","619,505","±4,709","619,505","(X)"
"        Utility gas","441,941","±7,196","71.3%","±1.0"
"        Bottled, tank, or LP gas","7,961","±1,403","1.3%","±0.2"
"        Electricity","141,175","±6,614","22.8%","±1.0"
"        Fuel oil, kerosene, etc.","21,264","±2,953","3.4%","±0.5"
"        Coal or coke","461","±484","0.1%","±0.1"
"        Wood","85","±102","0.0%","±0.1"
"        Solar energy","441","±511","0.1%","±0.1"
"        Other fuel","2,004","±862","0.3%","±0.1"
"        No fuel used","4,173","±1,207","0.7%","±0.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","619,505","±4,709","619,505","(X)"
"        Lacking complete plumbing facilities","3,633","±1,638","0.6%","±0.3"
"        Lacking complete kitchen facilities","5,345","±1,599","0.9%","±0.3"
"        No telephone service available","7,562","±1,722","1.2%","±0.3"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","619,505","±4,709","619,505","(X)"
"        1.00 or less","599,602","±5,513","96.8%","±0.5"
"        1.01 to 1.50","13,161","±2,464","2.1%","±0.4"
"        1.51 or more","6,742","±1,820","1.1%","±0.3"
"VALUE","","","",""
"    Owner-occupied units","323,722","±6,792","323,722","(X)"
"        Less than $50,000","18,506","±2,628","5.7%","±0.8"
"        $50,000 to $99,999","54,692","±4,114","16.9%","±1.1"
"        $100,000 to $149,999","48,810","±3,487","15.1%","±1.1"
"        $150,000 to $199,999","55,248","±4,170","17.1%","±1.2"
"        $200,000 to $299,999","77,574","±4,567","24.0%","±1.3"
"        $300,000 to $499,999","44,936","±3,134","13.9%","±0.9"
"        $500,000 to $999,999","19,381","±1,928","6.0%","±0.6"
"        $1,000,000 or more","4,575","±1,052","1.4%","±0.3"
"        Median (dollars)","183,200","±5,034","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","323,722","±6,792","323,722","(X)"
"        Housing units with a mortgage","191,038","±6,070","59.0%","±1.5"
"        Housing units without a mortgage","132,684","±5,710","41.0%","±1.5"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","191,038","±6,070","191,038","(X)"
"        Less than $500","4,114","±1,235","2.2%","±0.6"
"        $500 to $999","46,696","±3,977","24.4%","±1.8"
"        $1,000 to $1,499","63,927","±4,515","33.5%","±2.1"
"        $1,500 to $1,999","39,668","±3,228","20.8%","±1.7"
"        $2,000 to $2,499","17,106","±2,013","9.0%","±1.1"
"        $2,500 to $2,999","8,165","±1,349","4.3%","±0.7"
"        $3,000 or more","11,362","±1,592","5.9%","±0.8"
"        Median (dollars)","1,340","±33","(X)","(X)"
"    Housing units without a mortgage","132,684","±5,710","132,684","(X)"
"        Less than $250","17,155","±2,537","12.9%","±1.9"
"        $250 to $399","38,113","±3,720","28.7%","±2.3"
"        $400 to $599","42,657","±3,427","32.1%","±2.2"
"        $600 to $799","19,219","±2,806","14.5%","±2.0"
"        $800 to $999","7,308","±1,345","5.5%","±1.0"
"        $1,000 or more","8,232","±1,171","6.2%","±0.9"
"        Median (dollars)","447","±11","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","189,178","±6,016","189,178","(X)"
"        Less than 20.0 percent","87,918","±5,243","46.5%","±2.3"
"        20.0 to 24.9 percent","20,883","±2,349","11.0%","±1.2"
"        25.0 to 29.9 percent","16,993","±2,133","9.0%","±1.1"
"        30.0 to 34.9 percent","11,216","±1,843","5.9%","±1.0"
"        35.0 percent or more","52,168","±4,104","27.6%","±1.9"
"        Not computed","1,860","±1,105","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","128,541","±5,791","128,541","(X)"
"        Less than 10.0 percent","50,095","±4,461","39.0%","±3.0"
"        10.0 to 14.9 percent","22,822","±2,658","17.8%","±1.9"
"        15.0 to 19.9 percent","14,815","±2,447","11.5%","±1.8"
"        20.0 to 24.9 percent","11,940","±1,946","9.3%","±1.4"
"        25.0 to 29.9 percent","7,068","±1,637","5.5%","±1.2"
"        30.0 to 34.9 percent","4,820","±1,377","3.7%","±1.1"
"        35.0 percent or more","16,981","±2,254","13.2%","±1.7"
"        Not computed","4,143","±1,546","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","287,937","±7,304","287,937","(X)"
"        Less than $500","29,001","±3,399","10.1%","±1.2"
"        $500 to $999","94,324","±6,072","32.8%","±1.8"
"        $1,000 to $1,499","106,152","±6,214","36.9%","±1.9"
"        $1,500 to $1,999","36,663","±3,432","12.7%","±1.2"
"        $2,000 to $2,499","12,220","±1,905","4.2%","±0.7"
"        $2,500 to $2,999","5,341","±1,262","1.9%","±0.4"
"        $3,000 or more","4,236","±986","1.5%","±0.4"
"        Median (dollars)","1,079","±18","(X)","(X)"
"        No rent paid","7,846","±1,829","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","280,222","±7,049","280,222","(X)"
"        Less than 15.0 percent","32,578","±4,126","11.6%","±1.5"
"        15.0 to 19.9 percent","32,307","±3,033","11.5%","±1.1"
"        20.0 to 24.9 percent","30,663","±3,127","10.9%","±1.1"
"        25.0 to 29.9 percent","31,283","±3,747","11.2%","±1.3"
"        30.0 to 34.9 percent","26,138","±3,397","9.3%","±1.2"
"        35.0 percent or more","127,253","±6,657","45.4%","±2.0"
"        Not computed","15,561","±2,407","(X)","(X)"
