"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"        4 rooms","90,119","±4,571","13.5%","±0.7"
"        5 rooms","92,687","±4,561","13.9%","±0.7"
"        6 rooms","183,872","±5,812","27.5%","±0.9"
"        7 rooms","95,647","±4,763","14.3%","±0.7"
"        8 rooms","40,804","±2,849","6.1%","±0.4"
"        9 rooms or more","36,763","±2,647","5.5%","±0.4"
"        Median rooms","5.6","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","667,625","±1,712","667,625","(X)"
"        No bedroom","25,345","±2,803","3.8%","±0.4"
"        1 bedroom","111,495","±5,501","16.7%","±0.8"
"        2 bedrooms","143,327","±5,694","21.5%","±0.8"
"        3 bedrooms","313,761","±6,405","47.0%","±0.9"
"        4 bedrooms","52,697","±3,943","7.9%","±0.6"
"        5 or more bedrooms","21,000","±2,145","3.1%","±0.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","582,528","±4,670","582,528","(X)"
"        Owner-occupied","297,098","±6,044","51.0%","±1.1"
"        Renter-occupied","285,430","±7,014","49.0%","±1.1"
"    Average household size of owner-occupied unit","2.76","±0.04","(X)","(X)"
"    Average household size of renter-occupied unit","2.39","±0.05","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","582,528","±4,670","582,528","(X)"
"        Moved in 2010 or later","208,293","±6,963","35.8%","±1.1"
"        Moved in 2000 to 2009","178,903","±6,592","30.7%","±1.1"
"        Moved in 1990 to 1999","76,909","±4,060","13.2%","±0.7"
"        Moved in 1980 to 1989","42,429","±2,942","7.3%","±0.5"
"        Moved in 1970 to 1979","35,876","±2,440","6.2%","±0.4"
"        Moved in 1969 or earlier","40,118","±2,792","6.9%","±0.5"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","582,528","±4,670","582,528","(X)"
"        No vehicles available","183,342","±5,769","31.5%","±1.0"
"        1 vehicle available","262,950","±6,257","45.1%","±1.0"
"        2 vehicles available","106,505","±4,936","18.3%","±0.8"
"        3 or more vehicles available","29,731","±2,617","5.1%","±0.5"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","582,528","±4,670","582,528","(X)"
"        Utility gas","435,049","±6,872","74.7%","±1.0"
"        Bottled, tank, or LP gas","5,924","±1,184","1.0%","±0.2"
"        Electricity","107,421","±4,886","18.4%","±0.8"
"        Fuel oil, kerosene, etc.","28,211","±2,456","4.8%","±0.4"
"        Coal or coke","348","±265","0.1%","±0.1"
"        Wood","904","±448","0.2%","±0.1"
"        Solar energy","61","±99","0.0%","±0.1"
"        Other fuel","673","±323","0.1%","±0.1"
"        No fuel used","3,937","±971","0.7%","±0.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","582,528","±4,670","582,528","(X)"
"        Lacking complete plumbing facilities","2,048","±856","0.4%","±0.1"
"        Lacking complete kitchen facilities","5,177","±1,219","0.9%","±0.2"
"        No telephone service available","17,096","±2,135","2.9%","±0.4"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","582,528","±4,670","582,528","(X)"
"        1.00 or less","569,271","±5,121","97.7%","±0.3"
"        1.01 to 1.50","8,942","±1,623","1.5%","±0.3"
"        1.51 or more","4,315","±1,198","0.7%","±0.2"
"VALUE","","","",""
"    Owner-occupied units","297,098","±6,044","297,098","(X)"
"        Less than $50,000","35,160","±2,706","11.8%","±0.9"
"        $50,000 to $99,999","65,869","±3,915","22.2%","±1.1"
"        $100,000 to $149,999","60,826","±3,323","20.5%","±1.1"
"        $150,000 to $199,999","47,663","±3,273","16.0%","±1.1"
"        $200,000 to $299,999","51,626","±3,351","17.4%","±1.1"
"        $300,000 to $499,999","25,106","±2,280","8.5%","±0.7"
"        $500,000 to $999,999","8,709","±1,111","2.9%","±0.4"
"        $1,000,000 or more","2,139","±587","0.7%","±0.2"
"        Median (dollars)","136,800","±4,267","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","297,098","±6,044","297,098","(X)"
"        Housing units with a mortgage","179,405","±4,988","60.4%","±1.2"
"        Housing units without a mortgage","117,693","±4,513","39.6%","±1.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","179,405","±4,988","179,405","(X)"
"        Less than $300","231","±233","0.1%","±0.1"
"        $300 to $499","5,997","±1,050","3.3%","±0.6"
"        $500 to $699","18,380","±2,241","10.2%","±1.2"
"        $700 to $999","38,630","±3,044","21.5%","±1.6"
"        $1,000 to $1,499","63,524","±4,074","35.4%","±1.9"
"        $1,500 to $1,999","28,325","±2,453","15.8%","±1.4"
"        $2,000 or more","24,318","±2,106","13.6%","±1.1"
"        Median (dollars)","1,188","±23","(X)","(X)"
"    Housing units without a mortgage","117,693","±4,513","117,693","(X)"
"        Less than $100","715","±324","0.6%","±0.3"
"        $100 to $199","6,731","±1,291","5.7%","±1.1"
"        $200 to $299","17,620","±2,237","15.0%","±1.8"
"        $300 to $399","25,330","±2,061","21.5%","±1.5"
"        $400 or more","67,297","±3,580","57.2%","±2.1"
"        Median (dollars)","435","±9","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","177,251","±5,028","177,251","(X)"
"        Less than 20.0 percent","66,140","±3,724","37.3%","±1.7"
"        20.0 to 24.9 percent","23,528","±2,193","13.3%","±1.3"
"        25.0 to 29.9 percent","20,569","±2,460","11.6%","±1.3"
"        30.0 to 34.9 percent","13,095","±1,706","7.4%","±0.9"
"        35.0 percent or more","53,919","±3,730","30.4%","±1.9"
"    Not computed","2,154","±734","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","115,541","±4,409","115,541","(X)"
"        Less than 10.0 percent","36,756","±2,791","31.8%","±2.0"
"        10.0 to 14.9 percent","21,627","±2,309","18.7%","±1.8"
"        15.0 to 19.9 percent","15,826","±1,821","13.7%","±1.5"
"        20.0 to 24.9 percent","9,269","±1,329","8.0%","±1.1"
"        25.0 to 29.9 percent","7,574","±1,431","6.6%","±1.3"
"        30.0 to 34.9 percent","5,309","±1,200","4.6%","±1.0"
"        35.0 percent or more","19,180","±1,996","16.6%","±1.6"
"    Not computed","2,152","±810","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","271,980","±7,153","271,980","(X)"
"        Less than $200","6,064","±1,257","2.2%","±0.5"
"        $200 to $299","11,293","±1,606","4.2%","±0.6"
"        $300 to $499","15,135","±1,886","5.6%","±0.7"
"        $500 to $749","49,538","±3,922","18.2%","±1.5"
"        $750 to $999","79,697","±4,346","29.3%","±1.4"
"        $1,000 to $1,499","78,014","±4,957","28.7%","±1.5"
"        $1,500 or more","32,239","±2,821","11.9%","±1.0"
"        Median (dollars)","913","±16","(X)","(X)"
"    No rent paid","13,450","±2,235","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","259,041","±6,817","259,041","(X)"
"        Less than 15.0 percent","24,987","±2,877","9.6%","±1.1"
"        15.0 to 19.9 percent","28,428","±2,962","11.0%","±1.1"
"        20.0 to 24.9 percent","27,011","±2,884","10.4%","±1.1"
"        25.0 to 29.9 percent","29,409","±3,213","11.4%","±1.2"
"        30.0 to 34.9 percent","21,186","±2,587","8.2%","±1.0"
"        35.0 percent or more","128,020","±5,739","49.4%","±1.7"
"    Not computed","26,389","±2,780","(X)","(X)"
