Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Total housing units
    Percent,"34,194",,72.60%,6.80%,0.40%,14.80%,0.00%,2.30%,3.10%,5.30%,(X)
ZCTA5 19118,,,,,,,,,,,
    Estimate,"10,800",,"7,446","1,875",6,625,0,452,396,923,"4,643"
    Percent,"10,800",,68.90%,17.40%,0.10%,5.80%,0.00%,4.20%,3.70%,8.50%,(X)
ZCTA5 19119,,,,,,,,,,,
    Estimate,"29,163",,"8,769","18,156",87,434,0,295,"1,422",944,"13,374"
    Percent,"29,163",,30.10%,62.30%,0.30%,1.50%,0.00%,1.00%,4.90%,3.20%,(X)
ZCTA5 19120,,,,,,,,,,,
    Estimate,"72,376",,"13,574","35,996",584,"9,551",13,"10,197","2,461","21,763","25,123"
    Percent,"72,376",,18.80%,49.70%,0.80%,13.20%,0.00%,14.10%,3.40%,30.10%,(X)
ZCTA5 19121,,,,,,,,,,,
    Estimate,"31,546",,"4,661","24,676",196,"1,088",101,398,426,"1,305","16,885"
    Percent,"31,546",,14.80%,78.20%,0.60%,3.40%,0.30%,1.30%,1.40%,4.10%,(X)
ZCTA5 19122,,,,,,,,,,,
    Estimate,"22,690",,"9,177","8,467",62,"1,444",9,"2,524","1,007","6,409","7,795"
    Percent,"22,690",,40.40%,37.30%,0.30%,6.40%,0.00%,11.10%,4.40%,28.20%,(X)
ZCTA5 19123,,,,,,,,,,,
    Estimate,"15,167",,"7,888","4,852",50,"1,080",0,389,908,"1,711","8,097"
    Percent,"15,167",,52.00%,32.00%,0.30%,7.10%,0.00%,2.60%,6.00%,11.30%,(X)
ZCTA5 19124,,,,,,,,,,,
    Estimate,"68,905",,"22,308","28,140",364,"3,850",97,"11,455","2,691","27,162","25,981"
    Percent,"68,905",,32.40%,40.80%,0.50%,5.60%,0.10%,16.60%,3.90%,39.40%,(X)
ZCTA5 19125,,,,,,,,,,,
    Estimate,"24,149",,"18,992","1,088",139,"1,614",0,"1,670",646,"3,371","10,884"
    Percent,"24,149",,78.60%,4.50%,0.60%,6.70%,0.00%,6.90%,2.70%,14.00%,(X)
ZCTA5 19126,,,,,,,,,,,
    Estimate,"15,982",,"1,157","13,316",0,831,6,133,539,590,"6,682"
    Percent,"15,982",,7.20%,83.30%,0.00%,5.20%,0.00%,0.80%,3.40%,3.70%,(X)
ZCTA5 19127,,,,,,,,,,,
    Estimate,"6,038",,"5,129",663,11,61,0,69,105,333,"2,909"
    Percent,"6,038",,84.90%,11.00%,0.20%,1.00%,0.00%,1.10%,1.70%,5.50%,(X)
ZCTA5 19128,,,,,,,,,,,
    Estimate,"37,550",,"30,341","4,114",86,"1,272",29,422,"1,286","1,727","16,803"
    Percent,"37,550",,80.80%,11.00%,0.20%,3.40%,0.10%,1.10%,3.40%,4.60%,(X)
ZCTA5 19129,,,,,,,,,,,
    Estimate,"11,058",,"6,050","3,833",0,542,0,190,443,527,"4,905"
    Percent,"11,058",,54.70%,34.70%,0.00%,4.90%,0.00%,1.70%,4.00%,4.80%,(X)
ZCTA5 19130,,,,,,,,,,,
    Estimate,"26,100",,"17,944","5,004",49,"1,757",0,735,611,"1,615","14,229"
    Percent,"26,100",,68.80%,19.20%,0.20%,6.70%,0.00%,2.80%,2.30%,6.20%,(X)
ZCTA5 19131,,,,,,,,,,,
    Estimate,"44,915",,"5,538","36,481",281,"1,598",0,502,515,"1,306","21,268"
    Percent,"44,915",,12.30%,81.20%,0.60%,3.60%,0.00%,1.10%,1.10%,2.90%,(X)
ZCTA5 19132,,,,,,,,,,,
    Estimate,"33,368",,"2,124","29,968",114,324,0,289,549,"1,062","18,775"
    Percent,"33,368",,6.40%,89.80%,0.30%,1.00%,0.00%,0.90%,1.60%,3.20%,(X)
ZCTA5 19133,,,,,,,,,,,
    Estimate,"27,397",,"8,274","9,557",157,281,0,"8,312",816,"16,457","10,913"
    Percent,"27,397",,30.20%,34.90%,0.60%,1.00%,0.00%,30.30%,3.00%,60.10%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"62,861",,"35,962","11,260",443,773,57,"11,680","2,686","29,824","23,369"
    Percent,"62,861",,57.20%,17.90%,0.70%,1.20%,0.10%,18.60%,4.30%,47.40%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"33,602",,"19,887","8,351",126,"1,220",0,"3,113",905,"7,953","13,225"
    Percent,"33,602",,59.20%,24.90%,0.40%,3.60%,0.00%,9.30%,2.70%,23.70%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"32,912",,"24,246","4,936",59,"1,060",12,"1,724",875,"3,834","13,362"
    Percent,"32,912",,73.70%,15.00%,0.20%,3.20%,0.00%,5.20%,2.70%,11.60%,(X)
ZCTA5 19137,,,,,,,,,,,
    Estimate,"7,937",,"7,504",178,17,24,12,105,97,714,"3,246"
    Percent,"7,937",,94.50%,2.20%,0.20%,0.30%,0.20%,1.30%,1.20%,9.00%,(X)
ZCTA5 19138,,,,,,,,,,,
    Estimate,"34,614",,"1,192","32,035",2,153,0,228,"1,004",678,"13,747"
    Percent,"34,614",,3.40%,92.50%,0.00%,0.40%,0.00%,0.70%,2.90%,2.00%,(X)
ZCTA5 19139,,,,,,,,,,,
    Estimate,"44,675",,"2,442","39,888",123,736,0,639,847,"1,362","21,121"
    Percent,"44,675",,5.50%,89.30%,0.30%,1.60%,0.00%,1.40%,1.90%,3.00%,(X)
ZCTA5 19140,,,,,,,,,,,
    Estimate,"49,300",,"10,862","27,729",405,479,73,"8,639","1,113","20,888","23,117"
    Percent,"49,300",,22.00%,56.20%,0.80%,1.00%,0.10%,17.50%,2.30%,42.40%,(X)
ZCTA5 19141,,,,,,,,,,,
    Estimate,"33,791",,"2,911","28,439",31,"1,640",0,125,645,"1,163","14,576"
    Percent,"33,791",,8.60%,84.20%,0.10%,4.90%,0.00%,0.40%,1.90%,3.40%,(X)
ZCTA5 19142,,,,,,,,,,,
    Estimate,"28,238",,"2,061","23,178",32,"2,372",0,244,351,937,"11,417"
    Percent,"28,238",,7.30%,82.10%,0.10%,8.40%,0.00%,0.90%,1.20%,3.30%,(X)
ZCTA5 19143,,,,,,,,,,,
    Estimate,"65,812",,"8,626","52,818",258,"1,465",46,455,"2,144","2,170","30,897"
    Percent,"65,812",,13.10%,80.30%,0.40%,2.20%,0.10%,0.70%,3.30%,3.30%,(X)
ZCTA5 19144,,,,,,,,,,,
    Estimate,"41,209",,"7,865","30,493",143,766,8,657,"1,277","1,490","22,049"
    Percent,"41,209",,19.10%,74.00%,0.30%,1.90%,0.00%,1.60%,3.10%,3.60%,(X)
ZCTA5 19145,,,,,,,,,,,
    Estimate,"46,311",,"23,821","14,963",106,"6,143",0,469,809,"2,571","20,478"
    Percent,"46,311",,51.40%,32.30%,0.20%,13.30%,0.00%,1.00%,1.70%,5.60%,(X)
ZCTA5 19146,,,,,,,,,,,
    Estimate,"38,486",,"17,423","17,481",162,"1,944",38,602,836,"1,340","19,709"
    Percent,"38,486",,45.30%,45.40%,0.40%,5.10%,0.10%,1.60%,2.20%,3.50%,(X)
ZCTA5 19147,,,,,,,,,,,
    Estimate,"39,114",,"28,445","3,637",107,"4,921",20,"1,002",982,"4,535","19,017"
    Percent,"39,114",,72.70%,9.30%,0.30%,12.60%,0.10%,2.60%,2.50%,11.60%,(X)
ZCTA5 19148,,,,,,,,,,,
    Estimate,"53,440",,"33,683","3,706",172,"11,549",14,"2,461","1,855","7,334","21,444"
    Percent,"53,440",,63.00%,6.90%,0.30%,21.60%,0.00%,4.60%,3.50%,13.70%,(X)
ZCTA5 19149,,,,,,,,,,,
    Estimate,"59,853",,"24,932","18,103",130,"9,095",21,"5,430","2,142","12,595","20,729"
    Percent,"59,853",,41.70%,30.20%,0.20%,15.20%,0.00%,9.10%,3.60%,21.00%,(X)
ZCTA5 19150,,,,,,,,,,,
    Estimate,"24,048",,579,"22,816",13,121,6,91,422,331,"10,761"
    Percent,"24,048",,2.40%,94.90%,0.10%,0.50%,0.00%,0.40%,1.80%,1.40%,(X)
ZCTA5 19151,,,,,,,,,,,
    Estimate,"35,102",,"3,078","30,762",129,306,32,255,540,"1,298","13,495"
    Percent,"35,102",,8.80%,87.60%,0.40%,0.90%,0.10%,0.70%,1.50%,3.70%,(X)
ZCTA5 19152,,,,,,,,,,,
    Estimate,"35,626",,"23,799","5,167",8,"4,520",0,"1,275",857,"3,807","13,291"
    Percent,"35,626",,66.80%,14.50%,0.00%,12.70%,0.00%,3.60%,2.40%,10.70%,(X)
ZCTA5 19153,,,,,,,,,,,
    Estimate,"13,613",,"1,978","10,402",25,478,0,173,557,941,"6,098"
    Percent,"13,613",,14.50%,76.40%,0.20%,3.50%,0.00%,1.30%,4.10%,6.90%,(X)
ZCTA5 19154,,,,,,,,,,,
    Estimate,"33,512",,"28,708","2,586",93,"1,155",99,468,403,"2,165","13,135"
    Percent,"33,512",,85.70%,7.70%,0.30%,3.40%,0.30%,1.40%,1.20%,6.50%,(X)
