Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
        Estimate,"15,519",,"53,395",,863
    Renter-occupied housing units,,,,,
        Estimate,"9,073",,"33,485",,"1,049"
    Percent renter-occupied housing units,,,,,
        Estimate,"9,073",,"33,485",,"1,049"
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"14,597",,"29,691",,931
    Percent occupied housing units,,,,,
        Estimate,"14,597",,"29,691",,931
    Owner-occupied housing units,,,,,
        Estimate,"4,645",,"51,054",,651
    Percent owner-occupied housing units,,,,,
        Estimate,"4,645",,"51,054",,651
    Renter-occupied housing units,,,,,
        Estimate,"9,952",,"24,699",,"1,005"
    Percent renter-occupied housing units,,,,,
        Estimate,"9,952",,"24,699",,"1,005"
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"7,814",,"43,981",,"1,006"
    Percent occupied housing units,,,,,
        Estimate,"7,814",,"43,981",,"1,006"
    Owner-occupied housing units,,,,,
        Estimate,"3,265",,"89,479",,"1,173"
    Percent owner-occupied housing units,,,,,
        Estimate,"3,265",,"89,479",,"1,173"
    Renter-occupied housing units,,,,,
        Estimate,"4,549",,"20,930",,955
    Percent renter-occupied housing units,,,,,
        Estimate,"4,549",,"20,930",,955
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"8,978",,"83,008",,"1,684"
    Percent occupied housing units,,,,,
        Estimate,"8,978",,"83,008",,"1,684"
    Owner-occupied housing units,,,,,
        Estimate,"2,802",,"129,527",,"2,235"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,802",,"129,527",,"2,235"
    Renter-occupied housing units,,,,,
        Estimate,"6,176",,"64,852",,"1,487"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,176",,"64,852",,"1,487"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"24,377",,"38,293",,907
    Percent occupied housing units,,,,,
        Estimate,"24,377",,"38,293",,907
    Owner-occupied housing units,,,,,
        Estimate,"15,085",,"52,691",,878
    Percent owner-occupied housing units,,,,,
        Estimate,"15,085",,"52,691",,878
    Renter-occupied housing units,,,,,
        Estimate,"9,292",,"27,689",,945
    Percent renter-occupied housing units,,,,,
        Estimate,"9,292",,"27,689",,945
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"11,422",,"89,505",,"1,520"
    Percent occupied housing units,,,,,
        Estimate,"11,422",,"89,505",,"1,520"
    Owner-occupied housing units,,,,,
        Estimate,"6,867",,"98,812",,"1,492"
    Percent owner-occupied housing units,,,,,
        Estimate,"6,867",,"98,812",,"1,492"
    Renter-occupied housing units,,,,,
        Estimate,"4,555",,"79,514",,"1,559"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,555",,"79,514",,"1,559"
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"6,704",,"54,936",,"1,015"
    Percent occupied housing units,,,,,
        Estimate,"6,704",,"54,936",,"1,015"
    Owner-occupied housing units,,,,,
        Estimate,"4,033",,"65,038",,"1,009"
    Percent owner-occupied housing units,,,,,
        Estimate,"4,033",,"65,038",,"1,009"
    Renter-occupied housing units,,,,,
        Estimate,"2,671",,"38,154",,"1,020"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,671",,"38,154",,"1,020"
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,830",,"81,042",,"1,592"
    Percent occupied housing units,,,,,
        Estimate,"2,830",,"81,042",,"1,592"
    Owner-occupied housing units,,,,,
        Estimate,"1,175",,"106,250",,"1,565"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,175",,"106,250",,"1,565"
    Renter-occupied housing units,,,,,
        Estimate,"1,655",,"69,466",,"1,656"
    Percent renter-occupied housing units,,,,,
        Estimate,"1,655",,"69,466",,"1,656"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"18,018",,"80,803",,"1,437"
    Percent occupied housing units,,,,,
        Estimate,"18,018",,"80,803",,"1,437"
    Owner-occupied housing units,,,,,
        Estimate,"10,225",,"94,863",,"1,467"
    Percent owner-occupied housing units,,,,,
        Estimate,"10,225",,"94,863",,"1,467"
    Renter-occupied housing units,,,,,
        Estimate,"7,793",,"69,001",,"1,420"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,793",,"69,001",,"1,420"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"5,149",,"81,641",,"1,389"
    Percent occupied housing units,,,,,
        Estimate,"5,149",,"81,641",,"1,389"
    Owner-occupied housing units,,,,,
        Estimate,"2,524",,"109,294",,"1,307"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,524",,"109,294",,"1,307"
    Renter-occupied housing units,,,,,
        Estimate,"2,625",,"53,143",,"1,435"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,625",,"53,143",,"1,435"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"15,446",,"92,097",,"1,730"
    Percent occupied housing units,,,,,
        Estimate,"15,446",,"92,097",,"1,730"
    Owner-occupied housing units,,,,,
        Estimate,"5,901",,"135,985",,"1,917"
    Percent owner-occupied housing units,,,,,
        Estimate,"5,901",,"135,985",,"1,917"
    Renter-occupied housing units,,,,,
        Estimate,"9,545",,"80,435",,"1,647"
    Percent renter-occupied housing units,,,,,
        Estimate,"9,545",,"80,435",,"1,647"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"18,164",,"42,309",,"1,046"
    Percent occupied housing units,,,,,
        Estimate,"18,164",,"42,309",,"1,046"
    Owner-occupied housing units,,,,,
        Estimate,"8,612",,"51,289",,877
    Percent owner-occupied housing units,,,,,
        Estimate,"8,612",,"51,289",,877
    Renter-occupied housing units,,,,,
        Estimate,"9,552",,"35,955",,"1,159"
    Percent renter-occupied housing units,,,,,
        Estimate,"9,552",,"35,955",,"1,159"
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"14,384",,"26,041",,672
    Percent occupied housing units,,,,,
        Estimate,"14,384",,"26,041",,672
    Owner-occupied housing units,,,,,
        Estimate,"7,185",,"33,509",,442
    Percent owner-occupied housing units,,,,,
        Estimate,"7,185",,"33,509",,442
    Renter-occupied housing units,,,,,
        Estimate,"7,199",,"22,718",,907
    Percent renter-occupied housing units,,,,,
        Estimate,"7,199",,"22,718",,907
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"9,461",,"27,811",,637
    Percent occupied housing units,,,,,
        Estimate,"9,461",,"27,811",,637
    Owner-occupied housing units,,,,,
        Estimate,"3,888",,"30,714",,377
    Percent owner-occupied housing units,,,,,
        Estimate,"3,888",,"30,714",,377
    Renter-occupied housing units,,,,,
        Estimate,"5,573",,"25,148",,807
    Percent renter-occupied housing units,,,,,
        Estimate,"5,573",,"25,148",,807
ZCTA5 19134,,,,,
    Occupied housing units,,,,,
        Estimate,"21,942",,"37,821",,884
    Percent occupied housing units,,,,,
        Estimate,"21,942",,"37,821",,884
    Owner-occupied housing units,,,,,
        Estimate,"12,118",,"43,429",,670
    Percent owner-occupied housing units,,,,,
        Estimate,"12,118",,"43,429",,670
    Renter-occupied housing units,,,,,
        Estimate,"9,824",,"30,718",,"1,046"
    Percent renter-occupied housing units,,,,,
        Estimate,"9,824",,"30,718",,"1,046"
ZCTA5 19135,,,,,
    Occupied housing units,,,,,
        Estimate,"13,379",,"46,311",,"1,009"
    Percent occupied housing units,,,,,
        Estimate,"13,379",,"46,311",,"1,009"
    Owner-occupied housing units,,,,,
        Estimate,"7,983",,"62,874",,959
    Percent owner-occupied housing units,,,,,
        Estimate,"7,983",,"62,874",,959
    Renter-occupied housing units,,,,,
        Estimate,"5,396",,"35,000",,"1,088"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,396",,"35,000",,"1,088"
ZCTA5 19136,,,,,
    Occupied housing units,,,,,
        Estimate,"13,124",,"56,752",,"1,004"
    Percent occupied housing units,,,,,
        Estimate,"13,124",,"56,752",,"1,004"
    Owner-occupied housing units,,,,,
        Estimate,"7,936",,"67,397",,"1,066"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,936",,"67,397",,"1,066"
    Renter-occupied housing units,,,,,
        Estimate,"5,188",,"42,513",,966
    Percent renter-occupied housing units,,,,,
        Estimate,"5,188",,"42,513",,966
ZCTA5 19137,,,,,
    Occupied housing units,,,,,
        Estimate,"3,236",,"52,034",,964
    Percent occupied housing units,,,,,
        Estimate,"3,236",,"52,034",,964
    Owner-occupied housing units,,,,,
        Estimate,"2,605",,"61,996",,928
    Percent owner-occupied housing units,,,,,
        Estimate,"2,605",,"61,996",,928
    Renter-occupied housing units,,,,,
        Estimate,631,,"27,232",,"1,117"
    Percent renter-occupied housing units,,,,,
        Estimate,631,,"27,232",,"1,117"
ZCTA5 19138,,,,,
    Occupied housing units,,,,,
        Estimate,"12,492",,"44,455",,907
    Percent occupied housing units,,,,,
        Estimate,"12,492",,"44,455",,907
    Owner-occupied housing units,,,,,
        Estimate,"7,818",,"49,607",,866
    Percent owner-occupied housing units,,,,,
        Estimate,"7,818",,"49,607",,866
    Renter-occupied housing units,,,,,
        Estimate,"4,674",,"31,166",,"1,000"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,674",,"31,166",,"1,000"
ZCTA5 19139,,,,,
    Occupied housing units,,,,,
        Estimate,"18,957",,"32,531",,861
    Percent occupied housing units,,,,,
        Estimate,"18,957",,"32,531",,861
    Owner-occupied housing units,,,,,
        Estimate,"7,677",,"43,756",,689
    Percent owner-occupied housing units,,,,,
        Estimate,"7,677",,"43,756",,689
    Renter-occupied housing units,,,,,
        Estimate,"11,280",,"26,313",,953
    Percent renter-occupied housing units,,,,,
        Estimate,"11,280",,"26,313",,953
ZCTA5 19140,,,,,
    Occupied housing units,,,,,
        Estimate,"20,384",,"27,006",,705
    Percent occupied housing units,,,,,
        Estimate,"20,384",,"27,006",,705
    Owner-occupied housing units,,,,,
        Estimate,"10,275",,"30,050",,479
    Percent owner-occupied housing units,,,,,
        Estimate,"10,275",,"30,050",,479
    Renter-occupied housing units,,,,,
        Estimate,"10,109",,"23,974",,967
    Percent renter-occupied housing units,,,,,
        Estimate,"10,109",,"23,974",,967
ZCTA5 19141,,,,,
    Occupied housing units,,,,,
        Estimate,"14,413",,"34,651",,812
    Percent occupied housing units,,,,,
        Estimate,"14,413",,"34,651",,812
    Owner-occupied housing units,,,,,
        Estimate,"7,331",,"49,688",,650
    Percent owner-occupied housing units,,,,,
        Estimate,"7,331",,"49,688",,650
    Renter-occupied housing units,,,,,
        Estimate,"7,082",,"25,207",,920
    Percent renter-occupied housing units,,,,,
        Estimate,"7,082",,"25,207",,920
ZCTA5 19142,,,,,
    Occupied housing units,,,,,
        Estimate,"10,908",,"37,621",,"1,025"
    Percent occupied housing units,,,,,
        Estimate,"10,908",,"37,621",,"1,025"
    Owner-occupied housing units,,,,,
        Estimate,"5,098",,"41,410",,914
    Percent owner-occupied housing units,,,,,
        Estimate,"5,098",,"41,410",,914
    Renter-occupied housing units,,,,,
        Estimate,"5,810",,"33,613",,"1,099"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,810",,"33,613",,"1,099"
ZCTA5 19143,,,,,
    Occupied housing units,,,,,
        Estimate,"26,259",,"38,928",,964
    Percent occupied housing units,,,,,
        Estimate,"26,259",,"38,928",,964
    Owner-occupied housing units,,,,,
        Estimate,"12,820",,"48,714",,763
    Percent owner-occupied housing units,,,,,
        Estimate,"12,820",,"48,714",,763
    Renter-occupied housing units,,,,,
        Estimate,"13,439",,"33,117",,"1,072"
    Percent renter-occupied housing units,,,,,
        Estimate,"13,439",,"33,117",,"1,072"
ZCTA5 19144,,,,,
    Occupied housing units,,,,,
        Estimate,"19,792",,"37,322",,999
    Percent occupied housing units,,,,,
        Estimate,"19,792",,"37,322",,999
    Owner-occupied housing units,,,,,
        Estimate,"7,181",,"69,804",,"1,073"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,181",,"69,804",,"1,073"
    Renter-occupied housing units,,,,,
        Estimate,"12,611",,"25,229",,980
    Percent renter-occupied housing units,,,,,
        Estimate,"12,611",,"25,229",,980
ZCTA5 19145,,,,,
    Occupied housing units,,,,,
        Estimate,"18,976",,"59,216",,"1,092"
    Percent occupied housing units,,,,,
        Estimate,"18,976",,"59,216",,"1,092"
    Owner-occupied housing units,,,,,
        Estimate,"11,237",,"68,089",,982
    Percent owner-occupied housing units,,,,,
        Estimate,"11,237",,"68,089",,982
    Renter-occupied housing units,,,,,
        Estimate,"7,739",,"46,102",,"1,194"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,739",,"46,102",,"1,194"
ZCTA5 19146,,,,,
    Occupied housing units,,,,,
        Estimate,"18,101",,"86,372",,"1,481"
    Percent occupied housing units,,,,,
        Estimate,"18,101",,"86,372",,"1,481"
    Owner-occupied housing units,,,,,
        Estimate,"9,586",,"113,619",,"1,600"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,586",,"113,619",,"1,600"
    Renter-occupied housing units,,,,,
        Estimate,"8,515",,"66,164",,"1,419"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,515",,"66,164",,"1,419"
ZCTA5 19147,,,,,
    Occupied housing units,,,,,
        Estimate,"18,970",,"93,996",,"1,543"
    Percent occupied housing units,,,,,
        Estimate,"18,970",,"93,996",,"1,543"
    Owner-occupied housing units,,,,,
        Estimate,"10,837",,"132,364",,"1,723"
    Percent owner-occupied housing units,,,,,
        Estimate,"10,837",,"132,364",,"1,723"
    Renter-occupied housing units,,,,,
        Estimate,"8,133",,"63,426",,"1,385"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,133",,"63,426",,"1,385"
ZCTA5 19148,,,,,
    Occupied housing units,,,,,
        Estimate,"20,449",,"63,497",,"1,156"
    Percent occupied housing units,,,,,
        Estimate,"20,449",,"63,497",,"1,156"
    Owner-occupied housing units,,,,,
        Estimate,"13,302",,"66,588",,"1,029"
    Percent owner-occupied housing units,,,,,
        Estimate,"13,302",,"66,588",,"1,029"
    Renter-occupied housing units,,,,,
        Estimate,"7,147",,"59,946",,"1,255"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,147",,"59,946",,"1,255"
ZCTA5 19149,,,,,
    Occupied housing units,,,,,
        Estimate,"19,381",,"50,592",,"1,094"
    Percent occupied housing units,,,,,
        Estimate,"19,381",,"50,592",,"1,094"
    Owner-occupied housing units,,,,,
        Estimate,"11,217",,"52,698",,950
    Percent owner-occupied housing units,,,,,
        Estimate,"11,217",,"52,698",,950
    Renter-occupied housing units,,,,,
        Estimate,"8,164",,"47,112",,"1,285"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,164",,"47,112",,"1,285"
ZCTA5 19150,,,,,
    Occupied housing units,,,,,
        Estimate,"10,003",,"54,121",,"1,099"
    Percent occupied housing units,,,,,
        Estimate,"10,003",,"54,121",,"1,099"
    Owner-occupied housing units,,,,,
        Estimate,"7,852",,"59,983",,"1,053"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,852",,"59,983",,"1,053"
    Renter-occupied housing units,,,,,
        Estimate,"2,151",,"45,596",,"1,160"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,151",,"45,596",,"1,160"
ZCTA5 19151,,,,,
    Occupied housing units,,,,,
        Estimate,"12,766",,"49,337",,"1,024"
    Percent occupied housing units,,,,,
        Estimate,"12,766",,"49,337",,"1,024"
    Owner-occupied housing units,,,,,
        Estimate,"8,159",,"66,765",,"1,048"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,159",,"66,765",,"1,048"
    Renter-occupied housing units,,,,,
        Estimate,"4,607",,"38,079",,998
    Percent renter-occupied housing units,,,,,
        Estimate,"4,607",,"38,079",,998
ZCTA5 19152,,,,,
    Occupied housing units,,,,,
        Estimate,"13,456",,"56,835",,"1,005"
    Percent occupied housing units,,,,,
        Estimate,"13,456",,"56,835",,"1,005"
    Owner-occupied housing units,,,,,
        Estimate,"7,969",,"75,149",,925
    Percent owner-occupied housing units,,,,,
        Estimate,"7,969",,"75,149",,925
    Renter-occupied housing units,,,,,
        Estimate,"5,487",,"43,198",,"1,078"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,487",,"43,198",,"1,078"
ZCTA5 19153,,,,,
    Occupied housing units,,,,,
        Estimate,"5,682",,"57,830",,"1,185"
    Percent occupied housing units,,,,,
        Estimate,"5,682",,"57,830",,"1,185"
    Owner-occupied housing units,,,,,
        Estimate,"2,921",,"66,479",,"1,091"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,921",,"66,479",,"1,091"
    Renter-occupied housing units,,,,,
        Estimate,"2,761",,"41,081",,"1,273"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,761",,"41,081",,"1,273"
ZCTA5 19154,,,,,
    Occupied housing units,,,,,
        Estimate,"12,760",,"79,833",,"1,278"
    Percent occupied housing units,,,,,
        Estimate,"12,760",,"79,833",,"1,278"
    Owner-occupied housing units,,,,,
        Estimate,"9,867",,"86,292",,"1,259"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,867",,"86,292",,"1,259"
    Renter-occupied housing units,,,,,
        Estimate,"2,893",,"56,089",,"1,304"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,893",,"56,089",,"1,304"
