Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
    Renter-occupied housing units,,,,,
        Estimate,"9,789",,"27,246",,984
    Percent renter-occupied housing units,,,,,
        Estimate,"9,789",,"27,246",,984
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"12,162",,"25,162",,817
    Percent occupied housing units,,,,,
        Estimate,"12,162",,"25,162",,817
    Owner-occupied housing units,,,,,
        Estimate,"4,095",,"43,133",,572
    Percent owner-occupied housing units,,,,,
        Estimate,"4,095",,"43,133",,572
    Renter-occupied housing units,,,,,
        Estimate,"8,067",,"19,515",,906
    Percent renter-occupied housing units,,,,,
        Estimate,"8,067",,"19,515",,906
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"6,799",,"44,758",,938
    Percent occupied housing units,,,,,
        Estimate,"6,799",,"44,758",,938
    Owner-occupied housing units,,,,,
        Estimate,"2,844",,"64,543",,940
    Percent owner-occupied housing units,,,,,
        Estimate,"2,844",,"64,543",,940
    Renter-occupied housing units,,,,,
        Estimate,"3,955",,"26,933",,936
    Percent renter-occupied housing units,,,,,
        Estimate,"3,955",,"26,933",,936
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"8,565",,"77,111",,"1,616"
    Percent occupied housing units,,,,,
        Estimate,"8,565",,"77,111",,"1,616"
    Owner-occupied housing units,,,,,
        Estimate,"2,531",,"135,030",,"2,055"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,531",,"135,030",,"2,055"
    Renter-occupied housing units,,,,,
        Estimate,"6,034",,"59,963",,"1,424"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,034",,"59,963",,"1,424"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"22,837",,"36,884",,888
    Percent occupied housing units,,,,,
        Estimate,"22,837",,"36,884",,888
    Owner-occupied housing units,,,,,
        Estimate,"13,535",,"51,598",,878
    Percent owner-occupied housing units,,,,,
        Estimate,"13,535",,"51,598",,878
    Renter-occupied housing units,,,,,
        Estimate,"9,302",,"23,455",,899
    Percent renter-occupied housing units,,,,,
        Estimate,"9,302",,"23,455",,899
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"10,948",,"79,612",,"1,305"
    Percent occupied housing units,,,,,
        Estimate,"10,948",,"79,612",,"1,305"
    Owner-occupied housing units,,,,,
        Estimate,"6,627",,"84,126",,"1,297"
    Percent owner-occupied housing units,,,,,
        Estimate,"6,627",,"84,126",,"1,297"
    Renter-occupied housing units,,,,,
        Estimate,"4,321",,"68,547",,"1,316"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,321",,"68,547",,"1,316"
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"5,854",,"51,858",,962
    Percent occupied housing units,,,,,
        Estimate,"5,854",,"51,858",,962
    Owner-occupied housing units,,,,,
        Estimate,"3,395",,"61,910",,991
    Percent owner-occupied housing units,,,,,
        Estimate,"3,395",,"61,910",,991
    Renter-occupied housing units,,,,,
        Estimate,"2,459",,"37,479",,951
    Percent renter-occupied housing units,,,,,
        Estimate,"2,459",,"37,479",,951
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,678",,"74,936",,"1,560"
    Percent occupied housing units,,,,,
        Estimate,"2,678",,"74,936",,"1,560"
    Owner-occupied housing units,,,,,
        Estimate,"1,039",,"94,519",,"1,546"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,039",,"94,519",,"1,546"
    Renter-occupied housing units,,,,,
        Estimate,"1,639",,"66,662",,"1,588"
    Percent renter-occupied housing units,,,,,
        Estimate,"1,639",,"66,662",,"1,588"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"16,980",,"76,854",,"1,367"
    Percent occupied housing units,,,,,
        Estimate,"16,980",,"76,854",,"1,367"
    Owner-occupied housing units,,,,,
        Estimate,"9,545",,"93,505",,"1,411"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,545",,"93,505",,"1,411"
    Renter-occupied housing units,,,,,
        Estimate,"7,435",,"66,323",,"1,333"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,435",,"66,323",,"1,333"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,901",,"72,328",,"1,319"
    Percent occupied housing units,,,,,
        Estimate,"4,901",,"72,328",,"1,319"
    Owner-occupied housing units,,,,,
        Estimate,"2,377",,"103,938",,"1,303"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,377",,"103,938",,"1,303"
    Renter-occupied housing units,,,,,
        Estimate,"2,524",,"48,206",,"1,326"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,524",,"48,206",,"1,326"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"14,431",,"88,858",,"1,643"
    Percent occupied housing units,,,,,
        Estimate,"14,431",,"88,858",,"1,643"
    Owner-occupied housing units,,,,,
        Estimate,"5,631",,"127,732",,"1,843"
    Percent owner-occupied housing units,,,,,
        Estimate,"5,631",,"127,732",,"1,843"
    Renter-occupied housing units,,,,,
        Estimate,"8,800",,"78,006",,"1,528"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,800",,"78,006",,"1,528"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"17,503",,"39,672",,980
    Percent occupied housing units,,,,,
        Estimate,"17,503",,"39,672",,980
    Owner-occupied housing units,,,,,
        Estimate,"8,689",,"47,495",,804
    Percent owner-occupied housing units,,,,,
        Estimate,"8,689",,"47,495",,804
    Renter-occupied housing units,,,,,
        Estimate,"8,814",,"33,096",,"1,103"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,814",,"33,096",,"1,103"
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"13,712",,"23,256",,638
    Percent occupied housing units,,,,,
        Estimate,"13,712",,"23,256",,638
    Owner-occupied housing units,,,,,
        Estimate,"6,791",,"29,176",,421
    Percent owner-occupied housing units,,,,,
        Estimate,"6,791",,"29,176",,421
    Renter-occupied housing units,,,,,
        Estimate,"6,921",,"18,446",,849
    Percent renter-occupied housing units,,,,,
        Estimate,"6,921",,"18,446",,849
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"9,012",,"24,725",,630
    Percent occupied housing units,,,,,
        Estimate,"9,012",,"24,725",,630
    Owner-occupied housing units,,,,,
        Estimate,"3,782",,"28,264",,370
    Percent owner-occupied housing units,,,,,
        Estimate,"3,782",,"28,264",,370
    Renter-occupied housing units,,,,,
        Estimate,"5,230",,"21,549",,793
    Percent renter-occupied housing units,,,,,
        Estimate,"5,230",,"21,549",,793
ZCTA5 19134,,,,,
    Occupied housing units,,,,,
        Estimate,"21,273",,"34,374",,843
    Percent occupied housing units,,,,,
        Estimate,"21,273",,"34,374",,843
    Owner-occupied housing units,,,,,
        Estimate,"11,386",,"40,888",,631
    Percent owner-occupied housing units,,,,,
        Estimate,"11,386",,"40,888",,631
    Renter-occupied housing units,,,,,
        Estimate,"9,887",,"26,291",,977
    Percent renter-occupied housing units,,,,,
        Estimate,"9,887",,"26,291",,977
ZCTA5 19135,,,,,
    Occupied housing units,,,,,
        Estimate,"12,940",,"44,329",,955
    Percent occupied housing units,,,,,
        Estimate,"12,940",,"44,329",,955
    Owner-occupied housing units,,,,,
        Estimate,"7,959",,"54,961",,923
    Percent owner-occupied housing units,,,,,
        Estimate,"7,959",,"54,961",,923
    Renter-occupied housing units,,,,,
        Estimate,"4,981",,"33,902",,"1,014"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,981",,"33,902",,"1,014"
ZCTA5 19136,,,,,
    Occupied housing units,,,,,
        Estimate,"12,417",,"54,391",,969
    Percent occupied housing units,,,,,
        Estimate,"12,417",,"54,391",,969
    Owner-occupied housing units,,,,,
        Estimate,"7,688",,"61,291",,"1,040"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,688",,"61,291",,"1,040"
    Renter-occupied housing units,,,,,
        Estimate,"4,729",,"41,610",,913
    Percent renter-occupied housing units,,,,,
        Estimate,"4,729",,"41,610",,913
ZCTA5 19137,,,,,
    Occupied housing units,,,,,
        Estimate,"3,105",,"53,750",,951
    Percent occupied housing units,,,,,
        Estimate,"3,105",,"53,750",,951
    Owner-occupied housing units,,,,,
        Estimate,"2,479",,"64,421",,889
    Percent owner-occupied housing units,,,,,
        Estimate,"2,479",,"64,421",,889
    Renter-occupied housing units,,,,,
        Estimate,626,,"32,500",,"1,118"
    Percent renter-occupied housing units,,,,,
        Estimate,626,,"32,500",,"1,118"
ZCTA5 19138,,,,,
    Occupied housing units,,,,,
        Estimate,"11,975",,"43,556",,893
    Percent occupied housing units,,,,,
        Estimate,"11,975",,"43,556",,893
    Owner-occupied housing units,,,,,
        Estimate,"8,158",,"47,072",,841
    Percent owner-occupied housing units,,,,,
        Estimate,"8,158",,"47,072",,841
    Renter-occupied housing units,,,,,
        Estimate,"3,817",,"30,718",,"1,024"
    Percent renter-occupied housing units,,,,,
        Estimate,"3,817",,"30,718",,"1,024"
ZCTA5 19139,,,,,
    Occupied housing units,,,,,
        Estimate,"18,184",,"30,490",,818
    Percent occupied housing units,,,,,
        Estimate,"18,184",,"30,490",,818
    Owner-occupied housing units,,,,,
        Estimate,"7,517",,"41,037",,646
    Percent owner-occupied housing units,,,,,
        Estimate,"7,517",,"41,037",,646
    Renter-occupied housing units,,,,,
        Estimate,"10,667",,"24,467",,921
    Percent renter-occupied housing units,,,,,
        Estimate,"10,667",,"24,467",,921
ZCTA5 19140,,,,,
    Occupied housing units,,,,,
        Estimate,"19,693",,"23,138",,698
    Percent occupied housing units,,,,,
        Estimate,"19,693",,"23,138",,698
    Owner-occupied housing units,,,,,
        Estimate,"9,689",,"29,433",,502
    Percent owner-occupied housing units,,,,,
        Estimate,"9,689",,"29,433",,502
    Renter-occupied housing units,,,,,
        Estimate,"10,004",,"20,142",,880
    Percent renter-occupied housing units,,,,,
        Estimate,"10,004",,"20,142",,880
ZCTA5 19141,,,,,
    Occupied housing units,,,,,
        Estimate,"13,077",,"36,572",,817
    Percent occupied housing units,,,,,
        Estimate,"13,077",,"36,572",,817
    Owner-occupied housing units,,,,,
        Estimate,"6,660",,"51,766",,708
    Percent owner-occupied housing units,,,,,
        Estimate,"6,660",,"51,766",,708
    Renter-occupied housing units,,,,,
        Estimate,"6,417",,"24,554",,871
    Percent renter-occupied housing units,,,,,
        Estimate,"6,417",,"24,554",,871
ZCTA5 19142,,,,,
    Occupied housing units,,,,,
        Estimate,"9,869",,"35,049",,953
    Percent occupied housing units,,,,,
        Estimate,"9,869",,"35,049",,953
    Owner-occupied housing units,,,,,
        Estimate,"4,851",,"37,491",,878
    Percent owner-occupied housing units,,,,,
        Estimate,"4,851",,"37,491",,878
    Renter-occupied housing units,,,,,
        Estimate,"5,018",,"28,904",,"1,041"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,018",,"28,904",,"1,041"
ZCTA5 19143,,,,,
    Occupied housing units,,,,,
        Estimate,"24,632",,"37,434",,907
    Percent occupied housing units,,,,,
        Estimate,"24,632",,"37,434",,907
    Owner-occupied housing units,,,,,
        Estimate,"12,019",,"46,947",,726
    Percent owner-occupied housing units,,,,,
        Estimate,"12,019",,"46,947",,726
    Renter-occupied housing units,,,,,
        Estimate,"12,613",,"30,697",,980
    Percent renter-occupied housing units,,,,,
        Estimate,"12,613",,"30,697",,980
ZCTA5 19144,,,,,
    Occupied housing units,,,,,
        Estimate,"18,574",,"35,047",,926
    Percent occupied housing units,,,,,
        Estimate,"18,574",,"35,047",,926
    Owner-occupied housing units,,,,,
        Estimate,"7,042",,"67,019",,965
    Percent owner-occupied housing units,,,,,
        Estimate,"7,042",,"67,019",,965
    Renter-occupied housing units,,,,,
        Estimate,"11,532",,"25,437",,911
    Percent renter-occupied housing units,,,,,
        Estimate,"11,532",,"25,437",,911
ZCTA5 19145,,,,,
    Occupied housing units,,,,,
        Estimate,"17,977",,"54,353",,"1,022"
    Percent occupied housing units,,,,,
        Estimate,"17,977",,"54,353",,"1,022"
    Owner-occupied housing units,,,,,
        Estimate,"10,698",,"63,841",,919
    Percent owner-occupied housing units,,,,,
        Estimate,"10,698",,"63,841",,919
    Renter-occupied housing units,,,,,
        Estimate,"7,279",,"41,784",,"1,120"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,279",,"41,784",,"1,120"
ZCTA5 19146,,,,,
    Occupied housing units,,,,,
        Estimate,"17,302",,"77,091",,"1,341"
    Percent occupied housing units,,,,,
        Estimate,"17,302",,"77,091",,"1,341"
    Owner-occupied housing units,,,,,
        Estimate,"9,101",,"101,968",,"1,439"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,101",,"101,968",,"1,439"
    Renter-occupied housing units,,,,,
        Estimate,"8,201",,"58,364",,"1,292"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,201",,"58,364",,"1,292"
ZCTA5 19147,,,,,
    Occupied housing units,,,,,
        Estimate,"18,239",,"86,147",,"1,440"
    Percent occupied housing units,,,,,
        Estimate,"18,239",,"86,147",,"1,440"
    Owner-occupied housing units,,,,,
        Estimate,"10,032",,"126,135",,"1,599"
    Percent owner-occupied housing units,,,,,
        Estimate,"10,032",,"126,135",,"1,599"
    Renter-occupied housing units,,,,,
        Estimate,"8,207",,"59,702",,"1,315"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,207",,"59,702",,"1,315"
ZCTA5 19148,,,,,
    Occupied housing units,,,,,
        Estimate,"19,493",,"60,226",,"1,073"
    Percent occupied housing units,,,,,
        Estimate,"19,493",,"60,226",,"1,073"
    Owner-occupied housing units,,,,,
        Estimate,"12,781",,"64,146",,904
    Percent owner-occupied housing units,,,,,
        Estimate,"12,781",,"64,146",,904
    Renter-occupied housing units,,,,,
        Estimate,"6,712",,"52,383",,"1,178"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,712",,"52,383",,"1,178"
ZCTA5 19149,,,,,
    Occupied housing units,,,,,
        Estimate,"18,513",,"47,196",,"1,049"
    Percent occupied housing units,,,,,
        Estimate,"18,513",,"47,196",,"1,049"
    Owner-occupied housing units,,,,,
        Estimate,"11,156",,"48,961",,922
    Percent owner-occupied housing units,,,,,
        Estimate,"11,156",,"48,961",,922
    Renter-occupied housing units,,,,,
        Estimate,"7,357",,"43,920",,"1,228"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,357",,"43,920",,"1,228"
ZCTA5 19150,,,,,
    Occupied housing units,,,,,
        Estimate,"9,662",,"51,163",,"1,046"
    Percent occupied housing units,,,,,
        Estimate,"9,662",,"51,163",,"1,046"
    Owner-occupied housing units,,,,,
        Estimate,"7,277",,"56,657",,"1,012"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,277",,"56,657",,"1,012"
    Renter-occupied housing units,,,,,
        Estimate,"2,385",,"44,772",,"1,100"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,385",,"44,772",,"1,100"
ZCTA5 19151,,,,,
    Occupied housing units,,,,,
        Estimate,"12,019",,"47,174",,"1,011"
    Percent occupied housing units,,,,,
        Estimate,"12,019",,"47,174",,"1,011"
    Owner-occupied housing units,,,,,
        Estimate,"8,033",,"62,693",,"1,086"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,033",,"62,693",,"1,086"
    Renter-occupied housing units,,,,,
        Estimate,"3,986",,"34,758",,903
    Percent renter-occupied housing units,,,,,
        Estimate,"3,986",,"34,758",,903
ZCTA5 19152,,,,,
    Occupied housing units,,,,,
        Estimate,"13,275",,"55,927",,961
    Percent occupied housing units,,,,,
        Estimate,"13,275",,"55,927",,961
    Owner-occupied housing units,,,,,
        Estimate,"8,064",,"73,185",,896
    Percent owner-occupied housing units,,,,,
        Estimate,"8,064",,"73,185",,896
    Renter-occupied housing units,,,,,
        Estimate,"5,211",,"40,552",,997
    Percent renter-occupied housing units,,,,,
        Estimate,"5,211",,"40,552",,997
ZCTA5 19153,,,,,
    Occupied housing units,,,,,
        Estimate,"5,382",,"54,485",,"1,135"
    Percent occupied housing units,,,,,
        Estimate,"5,382",,"54,485",,"1,135"
    Owner-occupied housing units,,,,,
        Estimate,"2,932",,"62,273",,"1,039"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,932",,"62,273",,"1,039"
    Renter-occupied housing units,,,,,
        Estimate,"2,450",,"41,250",,"1,209"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,450",,"41,250",,"1,209"
ZCTA5 19154,,,,,
    Occupied housing units,,,,,
        Estimate,"12,461",,"72,161",,"1,224"
    Percent occupied housing units,,,,,
        Estimate,"12,461",,"72,161",,"1,224"
    Owner-occupied housing units,,,,,
        Estimate,"9,655",,"81,400",,"1,222"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,655",,"81,400",,"1,222"
    Renter-occupied housing units,,,,,
        Estimate,"2,806",,"52,028",,"1,227"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,806",,"52,028",,"1,227"
