Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,Total housing units
ZCTA5 19148,,,,,,,,,,
    Estimate,"52,259",,"32,738","3,317",147,"11,780",13,"2,568","1,696","21,421"
    Percent,"52,259",,62.60%,6.30%,0.30%,22.50%,0.00%,4.90%,3.20%,(X)
ZCTA5 19149,,,,,,,,,,
    Estimate,"58,055",,"23,956","15,429",190,"9,411",0,"6,123","2,946","20,541"
    Percent,"58,055",,41.30%,26.60%,0.30%,16.20%,0.00%,10.50%,5.10%,(X)
ZCTA5 19150,,,,,,,,,,
    Estimate,"22,299",,694,"21,007",24,105,4,227,238,"10,746"
    Percent,"22,299",,3.10%,94.20%,0.10%,0.50%,0.00%,1.00%,1.10%,(X)
ZCTA5 19151,,,,,,,,,,
    Estimate,"33,343",,"2,548","29,751",51,265,0,191,537,"13,517"
    Percent,"33,343",,7.60%,89.20%,0.20%,0.80%,0.00%,0.60%,1.60%,(X)
ZCTA5 19152,,,,,,,,,,
    Estimate,"36,379",,"21,051","6,711",3,"5,497",0,"1,717","1,400","13,454"
    Percent,"36,379",,57.90%,18.40%,0.00%,15.10%,0.00%,4.70%,3.80%,(X)
ZCTA5 19153,,,,,,,,,,
    Estimate,"13,006",,"1,957","9,293",23,637,0,173,923,"5,969"
    Percent,"13,006",,15.00%,71.50%,0.20%,4.90%,0.00%,1.30%,7.10%,(X)
ZCTA5 19154,,,,,,,,,,
    Estimate,"35,098",,"29,361","3,070",97,"1,092",0,882,596,"13,360"
    Percent,"35,098",,83.70%,8.70%,0.30%,3.10%,0.00%,2.50%,1.70%,(X)
