Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
    Estimate,"5,094",,"4,539",363,8,69,0,28,87,187,"2,811"
    Percent,"5,094",,89.10%,7.10%,0.20%,1.40%,0.00%,0.50%,1.70%,3.70%,(X)
ZCTA5 19128,,,,,,,,,,,
    Estimate,"35,041",,"30,218","2,664",95,"1,045",0,377,642,882,"16,749"
    Percent,"35,041",,86.20%,7.60%,0.30%,3.00%,0.00%,1.10%,1.80%,2.50%,(X)
ZCTA5 19129,,,,,,,,,,,
    Estimate,"11,125",,"6,811","3,714",24,403,7,122,44,287,"5,260"
    Percent,"11,125",,61.20%,33.40%,0.20%,3.60%,0.10%,1.10%,0.40%,2.60%,(X)
ZCTA5 19130,,,,,,,,,,,
    Estimate,"24,219",,"16,062","5,490",65,"1,701",0,343,558,"1,281","13,906"
    Percent,"24,219",,66.30%,22.70%,0.30%,7.00%,0.00%,1.40%,2.30%,5.30%,(X)
ZCTA5 19131,,,,,,,,,,,
    Estimate,"43,660",,"6,952","33,234",159,"1,606",47,498,"1,164","1,666","21,627"
    Percent,"43,660",,15.90%,76.10%,0.40%,3.70%,0.10%,1.10%,2.70%,3.80%,(X)
ZCTA5 19132,,,,,,,,,,,
    Estimate,"35,903",,"1,246","33,657",39,49,0,165,747,883,"17,840"
    Percent,"35,903",,3.50%,93.70%,0.10%,0.10%,0.00%,0.50%,2.10%,2.50%,(X)
ZCTA5 19133,,,,,,,,,,,
    Estimate,"24,615",,"4,341","12,112",15,99,0,"7,417",631,"13,749","10,736"
    Percent,"24,615",,17.60%,49.20%,0.10%,0.40%,0.00%,30.10%,2.60%,55.90%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"58,914",,"28,643","12,494",232,738,0,"13,645","3,162","28,172","22,948"
    Percent,"58,914",,48.60%,21.20%,0.40%,1.30%,0.00%,23.20%,5.40%,47.80%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"33,731",,"22,515","6,416",216,717,42,"2,775","1,050","5,871","13,409"
    Percent,"33,731",,66.70%,19.00%,0.60%,2.10%,0.10%,8.20%,3.10%,17.40%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"39,587",,"28,593","7,691",57,"1,040",5,"1,228",973,"3,894","13,544"
    Percent,"39,587",,72.20%,19.40%,0.10%,2.60%,0.00%,3.10%,2.50%,9.80%,(X)
ZCTA5 19137,,,,,,,,,,,
    Estimate,"8,316",,"7,592",228,3,52,0,230,211,564,"3,345"
    Percent,"8,316",,91.30%,2.70%,0.00%,0.60%,0.00%,2.80%,2.50%,6.80%,(X)
ZCTA5 19138,,,,,,,,,,,
    Estimate,"33,955",,"1,473","31,318",55,206,0,134,769,793,"13,506"
    Percent,"33,955",,4.30%,92.20%,0.20%,0.60%,0.00%,0.40%,2.30%,2.30%,(X)
ZCTA5 19139,,,,,,,,,,,
    Estimate,"43,181",,"2,134","39,882",178,377,0,275,335,946,"20,822"
    Percent,"43,181",,4.90%,92.40%,0.40%,0.90%,0.00%,0.60%,0.80%,2.20%,(X)
ZCTA5 19140,,,,,,,,,,,
    Estimate,"54,687",,"5,648","30,987",385,349,103,"15,605","1,610","22,645","22,583"
    Percent,"54,687",,10.30%,56.70%,0.70%,0.60%,0.20%,28.50%,2.90%,41.40%,(X)
ZCTA5 19141,,,,,,,,,,,
    Estimate,"32,876",,"2,430","27,146",61,"1,160",0,"1,339",740,"1,504","13,706"
    Percent,"32,876",,7.40%,82.60%,0.20%,3.50%,0.00%,4.10%,2.30%,4.60%,(X)
ZCTA5 19142,,,,,,,,,,,
    Estimate,"29,332",,"3,469","21,705",59,"3,051",29,492,527,801,"11,370"
    Percent,"29,332",,11.80%,74.00%,0.20%,10.40%,0.10%,1.70%,1.80%,2.70%,(X)
ZCTA5 19143,,,,,,,,,,,
    Estimate,"66,969",,"7,615","57,178",66,808,1,240,"1,061",919,"30,576"
    Percent,"66,969",,11.40%,85.40%,0.10%,1.20%,0.00%,0.40%,1.60%,1.40%,(X)
ZCTA5 19144,,,,,,,,,,,
    Estimate,"44,803",,"7,061","35,945",44,539,24,409,781,"1,076","22,288"
    Percent,"44,803",,15.80%,80.20%,0.10%,1.20%,0.10%,0.90%,1.70%,2.40%,(X)
ZCTA5 19145,,,,,,,,,,,
    Estimate,"47,857",,"21,316","17,189",76,"6,992",8,546,"1,730","2,639","20,713"
    Percent,"47,857",,44.50%,35.90%,0.20%,14.60%,0.00%,1.10%,3.60%,5.50%,(X)
ZCTA5 19146,,,,,,,,,,,
    Estimate,"34,095",,"13,101","17,679",136,"1,646",40,208,"1,285",965,"18,471"
    Percent,"34,095",,38.40%,51.90%,0.40%,4.80%,0.10%,0.60%,3.80%,2.80%,(X)
ZCTA5 19147,,,,,,,,,,,
    Estimate,"33,845",,"25,388","3,536",59,"3,719",36,301,806,"3,606","18,532"
    Percent,"33,845",,75.00%,10.40%,0.20%,11.00%,0.10%,0.90%,2.40%,10.70%,(X)
ZCTA5 19148,,,,,,,,,,,
    Estimate,"49,088",,"33,438","4,030",162,"9,786",0,388,"1,284","4,212","21,032"
    Percent,"49,088",,68.10%,8.20%,0.30%,19.90%,0.00%,0.80%,2.60%,8.60%,(X)
ZCTA5 19149,,,,,,,,,,,
    Estimate,"53,857",,"28,942","11,891",233,"7,625",0,"3,557","1,609","9,040","20,073"
    Percent,"53,857",,53.70%,22.10%,0.40%,14.20%,0.00%,6.60%,3.00%,16.80%,(X)
ZCTA5 19150,,,,,,,,,,,
    Estimate,"23,370",,526,"22,478",1,43,0,21,301,255,"10,551"
    Percent,"23,370",,2.30%,96.20%,0.00%,0.20%,0.00%,0.10%,1.30%,1.10%,(X)
ZCTA5 19151,,,,,,,,,,,
    Estimate,"32,381",,"3,282","28,107",38,383,37,139,395,704,"13,445"
    Percent,"32,381",,10.10%,86.80%,0.10%,1.20%,0.10%,0.40%,1.20%,2.20%,(X)
ZCTA5 19152,,,,,,,,,,,
    Estimate,"33,832",,"25,346","2,424",107,"3,851",29,"1,160",915,"2,613","13,531"
    Percent,"33,832",,74.90%,7.20%,0.30%,11.40%,0.10%,3.40%,2.70%,7.70%,(X)
ZCTA5 19153,,,,,,,,,,,
    Estimate,"12,020",,"2,266","8,555",20,898,0,27,254,270,"5,625"
    Percent,"12,020",,18.90%,71.20%,0.20%,7.50%,0.00%,0.20%,2.10%,2.20%,(X)
ZCTA5 19154,,,,,,,,,,,
    Estimate,"34,006",,"28,776","2,700",137,"1,216",35,584,558,"2,632","13,097"
    Percent,"34,006",,84.60%,7.90%,0.40%,3.60%,0.10%,1.70%,1.60%,7.70%,(X)
