Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
    Percent,"28,221",,7.90%,80.40%,0.10%,9.50%,0.00%,1.00%,1.10%,3.30%,(X)
ZCTA5 19143,,,,,,,,,,,
    Estimate,"63,518",,"8,287","51,376",255,"1,135",0,375,"2,090","1,562","30,366"
    Percent,"63,518",,13.00%,80.90%,0.40%,1.80%,0.00%,0.60%,3.30%,2.50%,(X)
ZCTA5 19144,,,,,,,,,,,
    Estimate,"40,613",,"7,199","30,895",113,742,20,482,"1,162","1,186","21,543"
    Percent,"40,613",,17.70%,76.10%,0.30%,1.80%,0.00%,1.20%,2.90%,2.90%,(X)
ZCTA5 19145,,,,,,,,,,,
    Estimate,"47,900",,"23,341","16,350",90,"6,805",14,254,"1,046","2,348","20,723"
    Percent,"47,900",,48.70%,34.10%,0.20%,14.20%,0.00%,0.50%,2.20%,4.90%,(X)
ZCTA5 19146,,,,,,,,,,,
    Estimate,"37,233",,"16,243","17,487",136,"1,760",35,406,"1,166","1,337","19,436"
    Percent,"37,233",,43.60%,47.00%,0.40%,4.70%,0.10%,1.10%,3.10%,3.60%,(X)
ZCTA5 19147,,,,,,,,,,,
    Estimate,"38,848",,"28,293","3,593",124,"4,894",26,761,"1,157","4,432","18,923"
    Percent,"38,848",,72.80%,9.20%,0.30%,12.60%,0.10%,2.00%,3.00%,11.40%,(X)
ZCTA5 19148,,,,,,,,,,,
    Estimate,"53,870",,"34,437","4,388",110,"11,426",17,"1,996","1,496","6,927","21,577"
    Percent,"53,870",,63.90%,8.10%,0.20%,21.20%,0.00%,3.70%,2.80%,12.90%,(X)
ZCTA5 19149,,,,,,,,,,,
    Estimate,"56,933",,"24,903","15,883",129,"8,332",18,"5,539","2,129","12,331","20,556"
    Percent,"56,933",,43.70%,27.90%,0.20%,14.60%,0.00%,9.70%,3.70%,21.70%,(X)
ZCTA5 19150,,,,,,,,,,,
    Estimate,"24,376",,526,"23,155",16,60,10,103,506,270,"10,452"
    Percent,"24,376",,2.20%,95.00%,0.10%,0.20%,0.00%,0.40%,2.10%,1.10%,(X)
ZCTA5 19151,,,,,,,,,,,
    Estimate,"34,391",,"3,295","29,864",80,278,21,278,575,"1,281","13,307"
    Percent,"34,391",,9.60%,86.80%,0.20%,0.80%,0.10%,0.80%,1.70%,3.70%,(X)
ZCTA5 19152,,,,,,,,,,,
    Estimate,"34,887",,"23,453","5,304",7,"3,938",0,"1,098","1,087","3,012","13,387"
    Percent,"34,887",,67.20%,15.20%,0.00%,11.30%,0.00%,3.10%,3.10%,8.60%,(X)
ZCTA5 19153,,,,,,,,,,,
    Estimate,"12,789",,"2,149","9,719",0,550,0,111,260,621,"5,836"
    Percent,"12,789",,16.80%,76.00%,0.00%,4.30%,0.00%,0.90%,2.00%,4.90%,(X)
ZCTA5 19154,,,,,,,,,,,
    Estimate,"33,159",,"28,461","2,475",0,"1,270",116,356,481,"1,739","13,214"
    Percent,"33,159",,85.80%,7.50%,0.00%,3.80%,0.30%,1.10%,1.50%,5.20%,(X)
