Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
        Estimate,"9,344",,"27,238",,"1,002"
    Percent renter-occupied housing units,,,,,
        Estimate,"9,344",,"27,238",,"1,002"
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"11,980",,"19,668",,734
    Percent occupied housing units,,,,,
        Estimate,"11,980",,"19,668",,734
    Owner-occupied housing units,,,,,
        Estimate,"3,826",,"37,013",,532
    Percent owner-occupied housing units,,,,,
        Estimate,"3,826",,"37,013",,532
    Renter-occupied housing units,,,,,
        Estimate,"8,154",,"15,862",,792
    Percent renter-occupied housing units,,,,,
        Estimate,"8,154",,"15,862",,792
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"6,505",,"35,828",,771
    Percent occupied housing units,,,,,
        Estimate,"6,505",,"35,828",,771
    Owner-occupied housing units,,,,,
        Estimate,"2,774",,"55,469",,681
    Percent owner-occupied housing units,,,,,
        Estimate,"2,774",,"55,469",,681
    Renter-occupied housing units,,,,,
        Estimate,"3,731",,"24,644",,819
    Percent renter-occupied housing units,,,,,
        Estimate,"3,731",,"24,644",,819
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"7,519",,"73,730",,"1,460"
    Percent occupied housing units,,,,,
        Estimate,"7,519",,"73,730",,"1,460"
    Owner-occupied housing units,,,,,
        Estimate,"2,405",,"108,162",,"1,698"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,405",,"108,162",,"1,698"
    Renter-occupied housing units,,,,,
        Estimate,"5,114",,"55,321",,"1,347"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,114",,"55,321",,"1,347"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"22,667",,"33,427",,875
    Percent occupied housing units,,,,,
        Estimate,"22,667",,"33,427",,875
    Owner-occupied housing units,,,,,
        Estimate,"12,226",,"44,960",,872
    Percent owner-occupied housing units,,,,,
        Estimate,"12,226",,"44,960",,872
    Renter-occupied housing units,,,,,
        Estimate,"10,441",,"23,585",,878
    Percent renter-occupied housing units,,,,,
        Estimate,"10,441",,"23,585",,878
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"10,109",,"65,218",,"1,149"
    Percent occupied housing units,,,,,
        Estimate,"10,109",,"65,218",,"1,149"
    Owner-occupied housing units,,,,,
        Estimate,"6,330",,"72,000",,"1,121"
    Percent owner-occupied housing units,,,,,
        Estimate,"6,330",,"72,000",,"1,121"
    Renter-occupied housing units,,,,,
        Estimate,"3,779",,"51,943",,"1,182"
    Percent renter-occupied housing units,,,,,
        Estimate,"3,779",,"51,943",,"1,182"
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"5,783",,"41,266",,990
    Percent occupied housing units,,,,,
        Estimate,"5,783",,"41,266",,990
    Owner-occupied housing units,,,,,
        Estimate,"3,365",,"60,287",,"1,093"
    Percent owner-occupied housing units,,,,,
        Estimate,"3,365",,"60,287",,"1,093"
    Renter-occupied housing units,,,,,
        Estimate,"2,418",,"22,586",,911
    Percent renter-occupied housing units,,,,,
        Estimate,"2,418",,"22,586",,911
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,529",,"73,750",,"1,475"
    Percent occupied housing units,,,,,
        Estimate,"2,529",,"73,750",,"1,475"
    Owner-occupied housing units,,,,,
        Estimate,"1,117",,"86,410",,"1,421"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,117",,"86,410",,"1,421"
    Renter-occupied housing units,,,,,
        Estimate,"1,412",,"63,727",,"1,524"
    Percent renter-occupied housing units,,,,,
        Estimate,"1,412",,"63,727",,"1,524"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"16,068",,"72,563",,"1,365"
    Percent occupied housing units,,,,,
        Estimate,"16,068",,"72,563",,"1,365"
    Owner-occupied housing units,,,,,
        Estimate,"9,441",,"88,806",,"1,378"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,441",,"88,806",,"1,378"
    Renter-occupied housing units,,,,,
        Estimate,"6,627",,"56,337",,"1,355"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,627",,"56,337",,"1,355"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,387",,"63,926",,"1,261"
    Percent occupied housing units,,,,,
        Estimate,"4,387",,"63,926",,"1,261"
    Owner-occupied housing units,,,,,
        Estimate,"2,200",,"83,889",,"1,090"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,200",,"83,889",,"1,090"
    Renter-occupied housing units,,,,,
        Estimate,"2,187",,"46,281",,"1,315"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,187",,"46,281",,"1,315"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"13,278",,"82,632",,"1,557"
    Percent occupied housing units,,,,,
        Estimate,"13,278",,"82,632",,"1,557"
    Owner-occupied housing units,,,,,
        Estimate,"5,607",,"111,720",,"1,778"
    Percent owner-occupied housing units,,,,,
        Estimate,"5,607",,"111,720",,"1,778"
    Renter-occupied housing units,,,,,
        Estimate,"7,671",,"64,311",,"1,450"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,671",,"64,311",,"1,450"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"17,446",,"34,844",,922
    Percent occupied housing units,,,,,
        Estimate,"17,446",,"34,844",,922
    Owner-occupied housing units,,,,,
        Estimate,"8,299",,"44,940",,791
    Percent owner-occupied housing units,,,,,
        Estimate,"8,299",,"44,940",,791
    Renter-occupied housing units,,,,,
        Estimate,"9,147",,"26,319",,986
    Percent renter-occupied housing units,,,,,
        Estimate,"9,147",,"26,319",,986
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"13,756",,"20,955",,656
    Percent occupied housing units,,,,,
        Estimate,"13,756",,"20,955",,656
    Owner-occupied housing units,,,,,
        Estimate,"6,759",,"26,499",,432
    Percent owner-occupied housing units,,,,,
        Estimate,"6,759",,"26,499",,432
    Renter-occupied housing units,,,,,
        Estimate,"6,997",,"17,526",,836
    Percent renter-occupied housing units,,,,,
        Estimate,"6,997",,"17,526",,836
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"8,907",,"19,130",,561
    Percent occupied housing units,,,,,
        Estimate,"8,907",,"19,130",,561
    Owner-occupied housing units,,,,,
        Estimate,"3,782",,"25,103",,369
    Percent owner-occupied housing units,,,,,
        Estimate,"3,782",,"25,103",,369
    Renter-occupied housing units,,,,,
        Estimate,"5,125",,"16,715",,725
    Percent renter-occupied housing units,,,,,
        Estimate,"5,125",,"16,715",,725
ZCTA5 19134,,,,,
    Occupied housing units,,,,,
        Estimate,"19,830",,"28,911",,818
    Percent occupied housing units,,,,,
        Estimate,"19,830",,"28,911",,818
    Owner-occupied housing units,,,,,
        Estimate,"10,372",,"36,030",,631
    Percent owner-occupied housing units,,,,,
        Estimate,"10,372",,"36,030",,631
    Renter-occupied housing units,,,,,
        Estimate,"9,458",,"22,666",,905
    Percent renter-occupied housing units,,,,,
        Estimate,"9,458",,"22,666",,905
ZCTA5 19135,,,,,
    Occupied housing units,,,,,
        Estimate,"11,945",,"44,779",,913
    Percent occupied housing units,,,,,
        Estimate,"11,945",,"44,779",,913
    Owner-occupied housing units,,,,,
        Estimate,"7,608",,"51,510",,864
    Percent owner-occupied housing units,,,,,
        Estimate,"7,608",,"51,510",,864
    Renter-occupied housing units,,,,,
        Estimate,"4,337",,"33,491",,953
    Percent renter-occupied housing units,,,,,
        Estimate,"4,337",,"33,491",,953
ZCTA5 19136,,,,,
    Occupied housing units,,,,,
        Estimate,"12,610",,"48,576",,915
    Percent occupied housing units,,,,,
        Estimate,"12,610",,"48,576",,915
    Owner-occupied housing units,,,,,
        Estimate,"7,512",,"56,742",,975
    Percent owner-occupied housing units,,,,,
        Estimate,"7,512",,"56,742",,975
    Renter-occupied housing units,,,,,
        Estimate,"5,098",,"34,623",,874
    Percent renter-occupied housing units,,,,,
        Estimate,"5,098",,"34,623",,874
ZCTA5 19137,,,,,
    Occupied housing units,,,,,
        Estimate,"3,045",,"54,006",,950
    Percent occupied housing units,,,,,
        Estimate,"3,045",,"54,006",,950
    Owner-occupied housing units,,,,,
        Estimate,"2,357",,"65,046",,926
    Percent owner-occupied housing units,,,,,
        Estimate,"2,357",,"65,046",,926
    Renter-occupied housing units,,,,,
        Estimate,688,,"31,944",,"1,008"
    Percent renter-occupied housing units,,,,,
        Estimate,688,,"31,944",,"1,008"
ZCTA5 19138,,,,,
    Occupied housing units,,,,,
        Estimate,"11,334",,"39,851",,893
    Percent occupied housing units,,,,,
        Estimate,"11,334",,"39,851",,893
    Owner-occupied housing units,,,,,
        Estimate,"8,242",,"43,619",,844
    Percent owner-occupied housing units,,,,,
        Estimate,"8,242",,"43,619",,844
    Renter-occupied housing units,,,,,
        Estimate,"3,092",,"25,549",,954
    Percent renter-occupied housing units,,,,,
        Estimate,"3,092",,"25,549",,954
ZCTA5 19139,,,,,
    Occupied housing units,,,,,
        Estimate,"16,643",,"28,505",,769
    Percent occupied housing units,,,,,
        Estimate,"16,643",,"28,505",,769
    Owner-occupied housing units,,,,,
        Estimate,"6,789",,"37,780",,594
    Percent owner-occupied housing units,,,,,
        Estimate,"6,789",,"37,780",,594
    Renter-occupied housing units,,,,,
        Estimate,"9,854",,"22,096",,870
    Percent renter-occupied housing units,,,,,
        Estimate,"9,854",,"22,096",,870
ZCTA5 19140,,,,,
    Occupied housing units,,,,,
        Estimate,"18,459",,"21,665",,702
    Percent occupied housing units,,,,,
        Estimate,"18,459",,"21,665",,702
    Owner-occupied housing units,,,,,
        Estimate,"8,634",,"27,877",,491
    Percent owner-occupied housing units,,,,,
        Estimate,"8,634",,"27,877",,491
    Renter-occupied housing units,,,,,
        Estimate,"9,825",,"18,919",,845
    Percent renter-occupied housing units,,,,,
        Estimate,"9,825",,"18,919",,845
ZCTA5 19141,,,,,
    Occupied housing units,,,,,
        Estimate,"12,666",,"31,018",,814
    Percent occupied housing units,,,,,
        Estimate,"12,666",,"31,018",,814
    Owner-occupied housing units,,,,,
        Estimate,"6,528",,"44,773",,745
    Percent owner-occupied housing units,,,,,
        Estimate,"6,528",,"44,773",,745
    Renter-occupied housing units,,,,,
        Estimate,"6,138",,"21,455",,833
    Percent renter-occupied housing units,,,,,
        Estimate,"6,138",,"21,455",,833
ZCTA5 19142,,,,,
    Occupied housing units,,,,,
        Estimate,"9,678",,"30,431",,881
    Percent occupied housing units,,,,,
        Estimate,"9,678",,"30,431",,881
    Owner-occupied housing units,,,,,
        Estimate,"5,077",,"40,551",,830
    Percent owner-occupied housing units,,,,,
        Estimate,"5,077",,"40,551",,830
    Renter-occupied housing units,,,,,
        Estimate,"4,601",,"19,066",,930
    Percent renter-occupied housing units,,,,,
        Estimate,"4,601",,"19,066",,930
ZCTA5 19143,,,,,
    Occupied housing units,,,,,
        Estimate,"25,508",,"33,351",,820
    Percent occupied housing units,,,,,
        Estimate,"25,508",,"33,351",,820
    Owner-occupied housing units,,,,,
        Estimate,"12,258",,"43,743",,683
    Percent owner-occupied housing units,,,,,
        Estimate,"12,258",,"43,743",,683
    Renter-occupied housing units,,,,,
        Estimate,"13,250",,"26,531",,897
    Percent renter-occupied housing units,,,,,
        Estimate,"13,250",,"26,531",,897
ZCTA5 19144,,,,,
    Occupied housing units,,,,,
        Estimate,"17,544",,"33,786",,916
    Percent occupied housing units,,,,,
        Estimate,"17,544",,"33,786",,916
    Owner-occupied housing units,,,,,
        Estimate,"6,963",,"54,346",,900
    Percent owner-occupied housing units,,,,,
        Estimate,"6,963",,"54,346",,900
    Renter-occupied housing units,,,,,
        Estimate,"10,581",,"25,641",,923
    Percent renter-occupied housing units,,,,,
        Estimate,"10,581",,"25,641",,923
ZCTA5 19145,,,,,
    Occupied housing units,,,,,
        Estimate,"18,329",,"42,009",,952
    Percent occupied housing units,,,,,
        Estimate,"18,329",,"42,009",,952
    Owner-occupied housing units,,,,,
        Estimate,"11,092",,"53,910",,841
    Percent owner-occupied housing units,,,,,
        Estimate,"11,092",,"53,910",,841
    Renter-occupied housing units,,,,,
        Estimate,"7,237",,"30,403",,"1,008"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,237",,"30,403",,"1,008"
ZCTA5 19146,,,,,
    Occupied housing units,,,,,
        Estimate,"16,967",,"63,524",,"1,226"
    Percent occupied housing units,,,,,
        Estimate,"16,967",,"63,524",,"1,226"
    Owner-occupied housing units,,,,,
        Estimate,"9,164",,"83,811",,"1,246"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,164",,"83,811",,"1,246"
    Renter-occupied housing units,,,,,
        Estimate,"7,803",,"48,197",,"1,209"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,803",,"48,197",,"1,209"
ZCTA5 19147,,,,,
    Occupied housing units,,,,,
        Estimate,"17,079",,"77,695",,"1,393"
    Percent occupied housing units,,,,,
        Estimate,"17,079",,"77,695",,"1,393"
    Owner-occupied housing units,,,,,
        Estimate,"9,310",,"105,208",,"1,560"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,310",,"105,208",,"1,560"
    Renter-occupied housing units,,,,,
        Estimate,"7,769",,"58,610",,"1,264"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,769",,"58,610",,"1,264"
ZCTA5 19148,,,,,
    Occupied housing units,,,,,
        Estimate,"19,610",,"52,584",,981
    Percent occupied housing units,,,,,
        Estimate,"19,610",,"52,584",,981
    Owner-occupied housing units,,,,,
        Estimate,"12,905",,"57,040",,890
    Percent owner-occupied housing units,,,,,
        Estimate,"12,905",,"57,040",,890
    Renter-occupied housing units,,,,,
        Estimate,"6,705",,"42,141",,"1,054"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,705",,"42,141",,"1,054"
ZCTA5 19149,,,,,
    Occupied housing units,,,,,
        Estimate,"18,950",,"45,126",,"1,016"
    Percent occupied housing units,,,,,
        Estimate,"18,950",,"45,126",,"1,016"
    Owner-occupied housing units,,,,,
        Estimate,"11,569",,"50,377",,932
    Percent owner-occupied housing units,,,,,
        Estimate,"11,569",,"50,377",,932
    Renter-occupied housing units,,,,,
        Estimate,"7,381",,"38,947",,"1,123"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,381",,"38,947",,"1,123"
ZCTA5 19150,,,,,
    Occupied housing units,,,,,
        Estimate,"9,551",,"46,150",,984
    Percent occupied housing units,,,,,
        Estimate,"9,551",,"46,150",,984
    Owner-occupied housing units,,,,,
        Estimate,"6,978",,"52,925",,936
    Percent owner-occupied housing units,,,,,
        Estimate,"6,978",,"52,925",,936
    Renter-occupied housing units,,,,,
        Estimate,"2,573",,"36,265",,"1,028"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,573",,"36,265",,"1,028"
ZCTA5 19151,,,,,
    Occupied housing units,,,,,
        Estimate,"11,899",,"48,369",,"1,032"
    Percent occupied housing units,,,,,
        Estimate,"11,899",,"48,369",,"1,032"
    Owner-occupied housing units,,,,,
        Estimate,"7,839",,"56,241",,"1,058"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,839",,"56,241",,"1,058"
    Renter-occupied housing units,,,,,
        Estimate,"4,060",,"31,263",,989
    Percent renter-occupied housing units,,,,,
        Estimate,"4,060",,"31,263",,989
ZCTA5 19152,,,,,
    Occupied housing units,,,,,
        Estimate,"13,142",,"52,696",,"1,001"
    Percent occupied housing units,,,,,
        Estimate,"13,142",,"52,696",,"1,001"
    Owner-occupied housing units,,,,,
        Estimate,"8,319",,"63,432",,"1,048"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,319",,"63,432",,"1,048"
    Renter-occupied housing units,,,,,
        Estimate,"4,823",,"30,283",,982
    Percent renter-occupied housing units,,,,,
        Estimate,"4,823",,"30,283",,982
ZCTA5 19153,,,,,
    Occupied housing units,,,,,
        Estimate,"5,437",,"42,418",,"1,039"
    Percent occupied housing units,,,,,
        Estimate,"5,437",,"42,418",,"1,039"
    Owner-occupied housing units,,,,,
        Estimate,"3,011",,"55,571",,947
    Percent owner-occupied housing units,,,,,
        Estimate,"3,011",,"55,571",,947
    Renter-occupied housing units,,,,,
        Estimate,"2,426",,"35,300",,"1,099"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,426",,"35,300",,"1,099"
ZCTA5 19154,,,,,
    Occupied housing units,,,,,
        Estimate,"12,426",,"65,082",,"1,198"
    Percent occupied housing units,,,,,
        Estimate,"12,426",,"65,082",,"1,198"
    Owner-occupied housing units,,,,,
        Estimate,"9,649",,"72,433",,"1,205"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,649",,"72,433",,"1,205"
    Renter-occupied housing units,,,,,
        Estimate,"2,777",,"48,173",,"1,191"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,777",,"48,173",,"1,191"
