Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
        Estimate,"10,634",,"20,388",,965
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"12,501",,"17,482",,690
    Percent occupied housing units,,,,,
        Estimate,"12,501",,"17,482",,690
    Owner-occupied housing units,,,,,
        Estimate,"3,761",,"33,777",,470
    Percent owner-occupied housing units,,,,,
        Estimate,"3,761",,"33,777",,470
    Renter-occupied housing units,,,,,
        Estimate,"8,740",,"12,434",,781
    Percent renter-occupied housing units,,,,,
        Estimate,"8,740",,"12,434",,781
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"6,494",,"32,284",,752
    Percent occupied housing units,,,,,
        Estimate,"6,494",,"32,284",,752
    Owner-occupied housing units,,,,,
        Estimate,"2,703",,"52,474",,660
    Percent owner-occupied housing units,,,,,
        Estimate,"2,703",,"52,474",,660
    Renter-occupied housing units,,,,,
        Estimate,"3,791",,"22,405",,796
    Percent renter-occupied housing units,,,,,
        Estimate,"3,791",,"22,405",,796
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"7,089",,"60,400",,"1,338"
    Percent occupied housing units,,,,,
        Estimate,"7,089",,"60,400",,"1,338"
    Owner-occupied housing units,,,,,
        Estimate,"2,217",,"101,289",,"1,551"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,217",,"101,289",,"1,551"
    Renter-occupied housing units,,,,,
        Estimate,"4,872",,"41,795",,"1,259"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,872",,"41,795",,"1,259"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"22,910",,"31,219",,876
    Percent occupied housing units,,,,,
        Estimate,"22,910",,"31,219",,876
    Owner-occupied housing units,,,,,
        Estimate,"11,650",,"41,659",,867
    Percent owner-occupied housing units,,,,,
        Estimate,"11,650",,"41,659",,867
    Renter-occupied housing units,,,,,
        Estimate,"11,260",,"22,661",,883
    Percent renter-occupied housing units,,,,,
        Estimate,"11,260",,"22,661",,883
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"9,543",,"56,508",,"1,087"
    Percent occupied housing units,,,,,
        Estimate,"9,543",,"56,508",,"1,087"
    Owner-occupied housing units,,,,,
        Estimate,"5,922",,"67,119",,"1,122"
    Percent owner-occupied housing units,,,,,
        Estimate,"5,922",,"67,119",,"1,122"
    Renter-occupied housing units,,,,,
        Estimate,"3,621",,"47,355",,"1,038"
    Percent renter-occupied housing units,,,,,
        Estimate,"3,621",,"47,355",,"1,038"
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"5,842",,"37,819",,941
    Percent occupied housing units,,,,,
        Estimate,"5,842",,"37,819",,941
    Owner-occupied housing units,,,,,
        Estimate,"3,485",,"58,176",,"1,086"
    Percent owner-occupied housing units,,,,,
        Estimate,"3,485",,"58,176",,"1,086"
    Renter-occupied housing units,,,,,
        Estimate,"2,357",,"21,507",,868
    Percent renter-occupied housing units,,,,,
        Estimate,"2,357",,"21,507",,868
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,395",,"66,325",,"1,387"
    Percent occupied housing units,,,,,
        Estimate,"2,395",,"66,325",,"1,387"
    Owner-occupied housing units,,,,,
        Estimate,"1,041",,"81,016",,"1,216"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,041",,"81,016",,"1,216"
    Renter-occupied housing units,,,,,
        Estimate,"1,354",,"61,042",,"1,445"
    Percent renter-occupied housing units,,,,,
        Estimate,"1,354",,"61,042",,"1,445"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"15,501",,"67,530",,"1,318"
    Percent occupied housing units,,,,,
        Estimate,"15,501",,"67,530",,"1,318"
    Owner-occupied housing units,,,,,
        Estimate,"9,017",,"85,531",,"1,346"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,017",,"85,531",,"1,346"
    Renter-occupied housing units,,,,,
        Estimate,"6,484",,"51,316",,"1,290"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,484",,"51,316",,"1,290"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,468",,"50,162",,"1,232"
    Percent occupied housing units,,,,,
        Estimate,"4,468",,"50,162",,"1,232"
    Owner-occupied housing units,,,,,
        Estimate,"2,155",,"72,961",,"1,012"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,155",,"72,961",,"1,012"
    Renter-occupied housing units,,,,,
        Estimate,"2,313",,"37,321",,"1,299"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,313",,"37,321",,"1,299"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"12,655",,"76,464",,"1,472"
    Percent occupied housing units,,,,,
        Estimate,"12,655",,"76,464",,"1,472"
    Owner-occupied housing units,,,,,
        Estimate,"5,248",,"107,143",,"1,727"
    Percent owner-occupied housing units,,,,,
        Estimate,"5,248",,"107,143",,"1,727"
    Renter-occupied housing units,,,,,
        Estimate,"7,407",,"59,536",,"1,376"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,407",,"59,536",,"1,376"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"17,863",,"32,873",,907
    Percent occupied housing units,,,,,
        Estimate,"17,863",,"32,873",,907
    Owner-occupied housing units,,,,,
        Estimate,"8,436",,"43,499",,773
    Percent owner-occupied housing units,,,,,
        Estimate,"8,436",,"43,499",,773
    Renter-occupied housing units,,,,,
        Estimate,"9,427",,"23,713",,965
    Percent renter-occupied housing units,,,,,
        Estimate,"9,427",,"23,713",,965
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"14,134",,"18,918",,651
    Percent occupied housing units,,,,,
        Estimate,"14,134",,"18,918",,651
    Owner-occupied housing units,,,,,
        Estimate,"6,581",,"27,113",,458
    Percent owner-occupied housing units,,,,,
        Estimate,"6,581",,"27,113",,458
    Renter-occupied housing units,,,,,
        Estimate,"7,553",,"13,365",,819
    Percent renter-occupied housing units,,,,,
        Estimate,"7,553",,"13,365",,819
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"9,507",,"15,232",,558
    Percent occupied housing units,,,,,
        Estimate,"9,507",,"15,232",,558
    Owner-occupied housing units,,,,,
        Estimate,"3,872",,"20,552",,356
    Percent owner-occupied housing units,,,,,
        Estimate,"3,872",,"20,552",,356
    Renter-occupied housing units,,,,,
        Estimate,"5,635",,"11,978",,729
    Percent renter-occupied housing units,,,,,
        Estimate,"5,635",,"11,978",,729
ZCTA5 19134,,,,,
    Occupied housing units,,,,,
        Estimate,"20,048",,"27,546",,793
    Percent occupied housing units,,,,,
        Estimate,"20,048",,"27,546",,793
    Owner-occupied housing units,,,,,
        Estimate,"10,373",,"36,069",,615
    Percent owner-occupied housing units,,,,,
        Estimate,"10,373",,"36,069",,615
    Renter-occupied housing units,,,,,
        Estimate,"9,675",,"19,894",,871
    Percent renter-occupied housing units,,,,,
        Estimate,"9,675",,"19,894",,871
ZCTA5 19135,,,,,
    Occupied housing units,,,,,
        Estimate,"11,784",,"43,192",,884
    Percent occupied housing units,,,,,
        Estimate,"11,784",,"43,192",,884
    Owner-occupied housing units,,,,,
        Estimate,"7,528",,"49,617",,867
    Percent owner-occupied housing units,,,,,
        Estimate,"7,528",,"49,617",,867
    Renter-occupied housing units,,,,,
        Estimate,"4,256",,"28,768",,896
    Percent renter-occupied housing units,,,,,
        Estimate,"4,256",,"28,768",,896
ZCTA5 19136,,,,,
    Occupied housing units,,,,,
        Estimate,"12,059",,"45,570",,898
    Percent occupied housing units,,,,,
        Estimate,"12,059",,"45,570",,898
    Owner-occupied housing units,,,,,
        Estimate,"7,294",,"55,554",,934
    Percent owner-occupied housing units,,,,,
        Estimate,"7,294",,"55,554",,934
    Renter-occupied housing units,,,,,
        Estimate,"4,765",,"32,279",,867
    Percent renter-occupied housing units,,,,,
        Estimate,"4,765",,"32,279",,867
ZCTA5 19137,,,,,
    Occupied housing units,,,,,
        Estimate,"2,873",,"52,376",,901
    Percent occupied housing units,,,,,
        Estimate,"2,873",,"52,376",,901
    Owner-occupied housing units,,,,,
        Estimate,"2,195",,"62,146",,803
    Percent owner-occupied housing units,,,,,
        Estimate,"2,195",,"62,146",,803
    Renter-occupied housing units,,,,,
        Estimate,678,,"35,652",,"1,000"
    Percent renter-occupied housing units,,,,,
        Estimate,678,,"35,652",,"1,000"
ZCTA5 19138,,,,,
    Occupied housing units,,,,,
        Estimate,"11,597",,"37,842",,887
    Percent occupied housing units,,,,,
        Estimate,"11,597",,"37,842",,887
    Owner-occupied housing units,,,,,
        Estimate,"8,300",,"43,074",,818
    Percent owner-occupied housing units,,,,,
        Estimate,"8,300",,"43,074",,818
    Renter-occupied housing units,,,,,
        Estimate,"3,297",,"25,247",,952
    Percent renter-occupied housing units,,,,,
        Estimate,"3,297",,"25,247",,952
ZCTA5 19139,,,,,
    Occupied housing units,,,,,
        Estimate,"16,636",,"26,804",,735
    Percent occupied housing units,,,,,
        Estimate,"16,636",,"26,804",,735
    Owner-occupied housing units,,,,,
        Estimate,"7,249",,"36,127",,569
    Percent owner-occupied housing units,,,,,
        Estimate,"7,249",,"36,127",,569
    Renter-occupied housing units,,,,,
        Estimate,"9,387",,"20,864",,844
    Percent renter-occupied housing units,,,,,
        Estimate,"9,387",,"20,864",,844
ZCTA5 19140,,,,,
    Occupied housing units,,,,,
        Estimate,"18,927",,"18,557",,688
    Percent occupied housing units,,,,,
        Estimate,"18,927",,"18,557",,688
    Owner-occupied housing units,,,,,
        Estimate,"7,926",,"25,132",,480
    Percent owner-occupied housing units,,,,,
        Estimate,"7,926",,"25,132",,480
    Renter-occupied housing units,,,,,
        Estimate,"11,001",,"13,987",,816
    Percent renter-occupied housing units,,,,,
        Estimate,"11,001",,"13,987",,816
ZCTA5 19141,,,,,
    Occupied housing units,,,,,
        Estimate,"12,651",,"28,398",,797
    Percent occupied housing units,,,,,
        Estimate,"12,651",,"28,398",,797
    Owner-occupied housing units,,,,,
        Estimate,"6,046",,"44,446",,731
    Percent owner-occupied housing units,,,,,
        Estimate,"6,046",,"44,446",,731
    Renter-occupied housing units,,,,,
        Estimate,"6,605",,"17,251",,808
    Percent renter-occupied housing units,,,,,
        Estimate,"6,605",,"17,251",,808
ZCTA5 19142,,,,,
    Occupied housing units,,,,,
        Estimate,"9,672",,"29,581",,856
    Percent occupied housing units,,,,,
        Estimate,"9,672",,"29,581",,856
    Owner-occupied housing units,,,,,
        Estimate,"5,188",,"39,358",,799
    Percent owner-occupied housing units,,,,,
        Estimate,"5,188",,"39,358",,799
    Renter-occupied housing units,,,,,
        Estimate,"4,484",,"19,939",,929
    Percent renter-occupied housing units,,,,,
        Estimate,"4,484",,"19,939",,929
ZCTA5 19143,,,,,
    Occupied housing units,,,,,
        Estimate,"25,675",,"32,741",,781
    Percent occupied housing units,,,,,
        Estimate,"25,675",,"32,741",,781
    Owner-occupied housing units,,,,,
        Estimate,"12,865",,"41,469",,647
    Percent owner-occupied housing units,,,,,
        Estimate,"12,865",,"41,469",,647
    Renter-occupied housing units,,,,,
        Estimate,"12,810",,"25,429",,863
    Percent renter-occupied housing units,,,,,
        Estimate,"12,810",,"25,429",,863
ZCTA5 19144,,,,,
    Occupied housing units,,,,,
        Estimate,"17,380",,"29,505",,856
    Percent occupied housing units,,,,,
        Estimate,"17,380",,"29,505",,856
    Owner-occupied housing units,,,,,
        Estimate,"6,476",,"49,452",,829
    Percent owner-occupied housing units,,,,,
        Estimate,"6,476",,"49,452",,829
    Renter-occupied housing units,,,,,
        Estimate,"10,904",,"22,823",,865
    Percent renter-occupied housing units,,,,,
        Estimate,"10,904",,"22,823",,865
ZCTA5 19145,,,,,
    Occupied housing units,,,,,
        Estimate,"18,093",,"39,374",,900
    Percent occupied housing units,,,,,
        Estimate,"18,093",,"39,374",,900
    Owner-occupied housing units,,,,,
        Estimate,"11,055",,"51,784",,837
    Percent owner-occupied housing units,,,,,
        Estimate,"11,055",,"51,784",,837
    Renter-occupied housing units,,,,,
        Estimate,"7,038",,"23,439",,947
    Percent renter-occupied housing units,,,,,
        Estimate,"7,038",,"23,439",,947
ZCTA5 19146,,,,,
    Occupied housing units,,,,,
        Estimate,"16,446",,"58,784",,"1,148"
    Percent occupied housing units,,,,,
        Estimate,"16,446",,"58,784",,"1,148"
    Owner-occupied housing units,,,,,
        Estimate,"8,744",,"80,964",,"1,233"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,744",,"80,964",,"1,233"
    Renter-occupied housing units,,,,,
        Estimate,"7,702",,"41,511",,"1,096"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,702",,"41,511",,"1,096"
ZCTA5 19147,,,,,
    Occupied housing units,,,,,
        Estimate,"16,673",,"73,231",,"1,312"
    Percent occupied housing units,,,,,
        Estimate,"16,673",,"73,231",,"1,312"
    Owner-occupied housing units,,,,,
        Estimate,"8,878",,"95,360",,"1,469"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,878",,"95,360",,"1,469"
    Renter-occupied housing units,,,,,
        Estimate,"7,795",,"56,009",,"1,216"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,795",,"56,009",,"1,216"
ZCTA5 19148,,,,,
    Occupied housing units,,,,,
        Estimate,"19,150",,"49,469",,931
    Percent occupied housing units,,,,,
        Estimate,"19,150",,"49,469",,931
    Owner-occupied housing units,,,,,
        Estimate,"12,833",,"55,126",,808
    Percent owner-occupied housing units,,,,,
        Estimate,"12,833",,"55,126",,808
    Renter-occupied housing units,,,,,
        Estimate,"6,317",,"37,140",,"1,033"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,317",,"37,140",,"1,033"
ZCTA5 19149,,,,,
    Occupied housing units,,,,,
        Estimate,"18,920",,"41,599",,"1,027"
    Percent occupied housing units,,,,,
        Estimate,"18,920",,"41,599",,"1,027"
    Owner-occupied housing units,,,,,
        Estimate,"11,122",,"46,848",,953
    Percent owner-occupied housing units,,,,,
        Estimate,"11,122",,"46,848",,953
    Renter-occupied housing units,,,,,
        Estimate,"7,798",,"34,510",,"1,085"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,798",,"34,510",,"1,085"
ZCTA5 19150,,,,,
    Occupied housing units,,,,,
        Estimate,"9,754",,"44,764",,957
    Percent occupied housing units,,,,,
        Estimate,"9,754",,"44,764",,957
    Owner-occupied housing units,,,,,
        Estimate,"7,050",,"53,514",,935
    Percent owner-occupied housing units,,,,,
        Estimate,"7,050",,"53,514",,935
    Renter-occupied housing units,,,,,
        Estimate,"2,704",,"32,420",,986
    Percent renter-occupied housing units,,,,,
        Estimate,"2,704",,"32,420",,986
ZCTA5 19151,,,,,
    Occupied housing units,,,,,
        Estimate,"12,234",,"47,287",,"1,035"
    Percent occupied housing units,,,,,
        Estimate,"12,234",,"47,287",,"1,035"
    Owner-occupied housing units,,,,,
        Estimate,"8,133",,"57,258",,"1,049"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,133",,"57,258",,"1,049"
    Renter-occupied housing units,,,,,
        Estimate,"4,101",,"31,433",,"1,012"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,101",,"31,433",,"1,012"
ZCTA5 19152,,,,,
    Occupied housing units,,,,,
        Estimate,"12,804",,"50,159",,"1,029"
    Percent occupied housing units,,,,,
        Estimate,"12,804",,"50,159",,"1,029"
    Owner-occupied housing units,,,,,
        Estimate,"8,082",,"61,691",,"1,108"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,082",,"61,691",,"1,108"
    Renter-occupied housing units,,,,,
        Estimate,"4,722",,"28,583",,982
    Percent renter-occupied housing units,,,,,
        Estimate,"4,722",,"28,583",,982
ZCTA5 19153,,,,,
    Occupied housing units,,,,,
        Estimate,"5,512",,"41,063",,"1,039"
    Percent occupied housing units,,,,,
        Estimate,"5,512",,"41,063",,"1,039"
    Owner-occupied housing units,,,,,
        Estimate,"3,309",,"52,861",,987
    Percent owner-occupied housing units,,,,,
        Estimate,"3,309",,"52,861",,987
    Renter-occupied housing units,,,,,
        Estimate,"2,203",,"33,277",,"1,074"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,203",,"33,277",,"1,074"
ZCTA5 19154,,,,,
    Occupied housing units,,,,,
        Estimate,"12,092",,"61,892",,"1,152"
    Percent occupied housing units,,,,,
        Estimate,"12,092",,"61,892",,"1,152"
    Owner-occupied housing units,,,,,
        Estimate,"9,731",,"68,131",,"1,166"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,731",,"68,131",,"1,166"
    Renter-occupied housing units,,,,,
        Estimate,"2,361",,"43,309",,"1,136"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,361",,"43,309",,"1,136"
