Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Total housing units
    Estimate,"68,965",,"20,579","27,752",395,"3,410",99,"14,500","2,230","28,603","25,629"
    Percent,"68,965",,29.80%,40.20%,0.60%,4.90%,0.10%,21.00%,3.20%,41.50%,(X)
ZCTA5 19125,,,,,,,,,,,
    Estimate,"24,674",,"19,811","1,131",78,"1,607",0,"1,341",706,"3,324","11,275"
    Percent,"24,674",,80.30%,4.60%,0.30%,6.50%,0.00%,5.40%,2.90%,13.50%,(X)
ZCTA5 19126,,,,,,,,,,,
    Estimate,"15,863",,"1,073","13,232",0,590,5,256,707,769,"6,726"
    Percent,"15,863",,6.80%,83.40%,0.00%,3.70%,0.00%,1.60%,4.50%,4.80%,(X)
ZCTA5 19127,,,,,,,,,,,
    Estimate,"6,082",,"5,186",569,6,83,0,70,168,319,"3,048"
    Percent,"6,082",,85.30%,9.40%,0.10%,1.40%,0.00%,1.20%,2.80%,5.20%,(X)
ZCTA5 19128,,,,,,,,,,,
    Estimate,"38,309",,"30,433","4,929",110,"1,082",28,451,"1,276","1,618","17,212"
    Percent,"38,309",,79.40%,12.90%,0.30%,2.80%,0.10%,1.20%,3.30%,4.20%,(X)
ZCTA5 19129,,,,,,,,,,,
    Estimate,"10,640",,"5,707","3,800",0,463,0,164,506,381,"4,951"
    Percent,"10,640",,53.60%,35.70%,0.00%,4.40%,0.00%,1.50%,4.80%,3.60%,(X)
ZCTA5 19130,,,,,,,,,,,
    Estimate,"27,410",,"18,784","5,096",61,"2,009",0,587,873,"1,598","14,963"
    Percent,"27,410",,68.50%,18.60%,0.20%,7.30%,0.00%,2.10%,3.20%,5.80%,(X)
ZCTA5 19131,,,,,,,,,,,
    Estimate,"44,972",,"5,336","36,511",154,"1,563",0,574,834,"1,442","21,307"
    Percent,"44,972",,11.90%,81.20%,0.30%,3.50%,0.00%,1.30%,1.90%,3.20%,(X)
ZCTA5 19132,,,,,,,,,,,
    Estimate,"32,196",,"1,295","29,758",86,368,0,251,438,"1,028","18,439"
    Percent,"32,196",,4.00%,92.40%,0.30%,1.10%,0.00%,0.80%,1.40%,3.20%,(X)
ZCTA5 19133,,,,,,,,,,,
    Estimate,"27,419",,"8,598","10,584",156,339,0,"7,058",684,"16,091","10,403"
    Percent,"27,419",,31.40%,38.60%,0.60%,1.20%,0.00%,25.70%,2.50%,58.70%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"61,509",,"34,399","11,200",517,"1,018",12,"12,095","2,268","28,422","23,292"
    Percent,"61,509",,55.90%,18.20%,0.80%,1.70%,0.00%,19.70%,3.70%,46.20%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"35,302",,"19,768","8,941",74,"1,605",0,"3,832","1,082","8,265","13,308"
    Percent,"35,302",,56.00%,25.30%,0.20%,4.50%,0.00%,10.90%,3.10%,23.40%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"34,470",,"24,790","5,578",46,"1,106",11,"1,816","1,123","4,986","13,661"
    Percent,"34,470",,71.90%,16.20%,0.10%,3.20%,0.00%,5.30%,3.30%,14.50%,(X)
ZCTA5 19137,,,,,,,,,,,
    Estimate,"8,482",,"8,015",216,22,0,7,120,102,726,"3,428"
    Percent,"8,482",,94.50%,2.50%,0.30%,0.00%,0.10%,1.40%,1.20%,8.60%,(X)
ZCTA5 19138,,,,,,,,,,,
    Estimate,"32,399",,911,"29,999",2,185,19,268,"1,015",541,"13,546"
    Percent,"32,399",,2.80%,92.60%,0.00%,0.60%,0.10%,0.80%,3.10%,1.70%,(X)
ZCTA5 19139,,,,,,,,,,,
    Estimate,"44,870",,"2,729","39,754",114,"1,157",0,356,760,"1,275","20,913"
    Percent,"44,870",,6.10%,88.60%,0.30%,2.60%,0.00%,0.80%,1.70%,2.80%,(X)
ZCTA5 19140,,,,,,,,,,,
    Estimate,"51,667",,"9,628","29,506",364,567,94,"10,157","1,351","21,528","22,618"
    Percent,"51,667",,18.60%,57.10%,0.70%,1.10%,0.20%,19.70%,2.60%,41.70%,(X)
ZCTA5 19141,,,,,,,,,,,
    Estimate,"34,784",,"2,529","29,372",28,"1,769",0,317,769,"1,502","14,425"
    Percent,"34,784",,7.30%,84.40%,0.10%,5.10%,0.00%,0.90%,2.20%,4.30%,(X)
ZCTA5 19142,,,,,,,,,,,
    Estimate,"28,144",,"1,878","23,884",60,"1,763",0,326,233,718,"11,398"
    Percent,"28,144",,6.70%,84.90%,0.20%,6.30%,0.00%,1.20%,0.80%,2.60%,(X)
ZCTA5 19143,,,,,,,,,,,
    Estimate,"65,247",,"8,479","52,094",264,"1,580",42,561,"2,227","2,331","30,592"
    Percent,"65,247",,13.00%,79.80%,0.40%,2.40%,0.10%,0.90%,3.40%,3.60%,(X)
ZCTA5 19144,,,,,,,,,,,
    Estimate,"42,556",,"7,257","32,454",177,901,8,574,"1,185","1,670","22,009"
    Percent,"42,556",,17.10%,76.30%,0.40%,2.10%,0.00%,1.30%,2.80%,3.90%,(X)
ZCTA5 19145,,,,,,,,,,,
    Estimate,"46,623",,"24,090","14,501",199,"6,361",0,596,876,"2,914","20,544"
    Percent,"46,623",,51.70%,31.10%,0.40%,13.60%,0.00%,1.30%,1.90%,6.30%,(X)
ZCTA5 19146,,,,,,,,,,,
    Estimate,"38,873",,"18,549","16,645",120,"1,701",35,584,"1,239","1,799","19,979"
    Percent,"38,873",,47.70%,42.80%,0.30%,4.40%,0.10%,1.50%,3.20%,4.60%,(X)
ZCTA5 19147,,,,,,,,,,,
    Estimate,"39,060",,"28,432","3,568",88,"4,987",0,770,"1,215","3,536","19,541"
    Percent,"39,060",,72.80%,9.10%,0.20%,12.80%,0.00%,2.00%,3.10%,9.10%,(X)
ZCTA5 19148,,,,,,,,,,,
    Estimate,"52,594",,"34,042","2,707",137,"11,867",16,"2,234","1,591","7,529","21,677"
    Percent,"52,594",,64.70%,5.10%,0.30%,22.60%,0.00%,4.20%,3.00%,14.30%,(X)
ZCTA5 19149,,,,,,,,,,,
    Estimate,"59,633",,"24,841","16,364",142,"9,161",15,"6,196","2,914","13,324","20,648"
    Percent,"59,633",,41.70%,27.40%,0.20%,15.40%,0.00%,10.40%,4.90%,22.30%,(X)
ZCTA5 19150,,,,,,,,,,,
    Estimate,"22,492",,632,"21,161",7,145,6,116,425,317,"10,577"
    Percent,"22,492",,2.80%,94.10%,0.00%,0.60%,0.00%,0.50%,1.90%,1.40%,(X)
ZCTA5 19151,,,,,,,,,,,
    Estimate,"33,174",,"2,821","29,161",106,235,0,242,609,"1,345","13,381"
    Percent,"33,174",,8.50%,87.90%,0.30%,0.70%,0.00%,0.70%,1.80%,4.10%,(X)
ZCTA5 19152,,,,,,,,,,,
    Estimate,"37,067",,"22,738","5,729",3,"5,572",0,"1,676","1,349","4,791","13,662"
    Percent,"37,067",,61.30%,15.50%,0.00%,15.00%,0.00%,4.50%,3.60%,12.90%,(X)
ZCTA5 19153,,,,,,,,,,,
    Estimate,"13,190",,"1,944","9,747",24,537,0,135,803,917,"6,056"
    Percent,"13,190",,14.70%,73.90%,0.20%,4.10%,0.00%,1.00%,6.10%,7.00%,(X)
ZCTA5 19154,,,,,,,,,,,
    Estimate,"34,253",,"28,481","2,914",105,"1,353",76,794,530,"2,819","13,414"
    Percent,"34,253",,83.10%,8.50%,0.30%,4.00%,0.20%,2.30%,1.50%,8.20%,(X)
