Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Total housing units
    Percent,"38,840",,76.00%,13.40%,0.10%,3.00%,0.00%,2.30%,5.10%,6.70%,(X)
ZCTA5 19129,,,,,,,,,,,
    Estimate,"11,551",,"6,850","3,362",25,348,0,285,681,601,"5,608"
    Percent,"11,551",,59.30%,29.10%,0.20%,3.00%,0.00%,2.50%,5.90%,5.20%,(X)
ZCTA5 19130,,,,,,,,,,,
    Estimate,"29,378",,"20,897","4,333",16,"1,867",0,576,"1,689","1,753","16,959"
    Percent,"29,378",,71.10%,14.70%,0.10%,6.40%,0.00%,2.00%,5.70%,6.00%,(X)
ZCTA5 19131,,,,,,,,,,,
    Estimate,"44,791",,"4,958","36,508",33,"1,610",87,203,"1,392","1,232","21,777"
    Percent,"44,791",,11.10%,81.50%,0.10%,3.60%,0.20%,0.50%,3.10%,2.80%,(X)
ZCTA5 19132,,,,,,,,,,,
    Estimate,"32,802",,"1,244","29,726",102,200,0,746,784,"1,062","17,639"
    Percent,"32,802",,3.80%,90.60%,0.30%,0.60%,0.00%,2.30%,2.40%,3.20%,(X)
ZCTA5 19133,,,,,,,,,,,
    Estimate,"25,893",,"4,239","9,912",8,904,0,"10,003",827,"14,358","11,026"
    Percent,"25,893",,16.40%,38.30%,0.00%,3.50%,0.00%,38.60%,3.20%,55.50%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"59,590",,"23,261","9,951",267,"1,179",13,"19,903","5,016","30,286","24,951"
    Percent,"59,590",,39.00%,16.70%,0.40%,2.00%,0.00%,33.40%,8.40%,50.80%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"36,304",,"17,336","8,199",161,"2,268",0,"5,179","3,161","9,139","14,414"
    Percent,"36,304",,47.80%,22.60%,0.40%,6.20%,0.00%,14.30%,8.70%,25.20%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"37,193",,"22,903","6,910",60,"1,989",0,"2,593","2,738","7,388","13,928"
    Percent,"37,193",,61.60%,18.60%,0.20%,5.30%,0.00%,7.00%,7.40%,19.90%,(X)
ZCTA5 19137,,,,,,,,,,,
    Estimate,"8,470",,"7,474",286,1,72,0,296,341,668,"3,641"
    Percent,"8,470",,88.20%,3.40%,0.00%,0.90%,0.00%,3.50%,4.00%,7.90%,(X)
ZCTA5 19138,,,,,,,,,,,
    Estimate,"33,197",,825,"30,790",0,44,12,190,"1,336",732,"13,999"
    Percent,"33,197",,2.50%,92.70%,0.00%,0.10%,0.00%,0.60%,4.00%,2.20%,(X)
ZCTA5 19139,,,,,,,,,,,
    Estimate,"45,642",,"3,377","38,762",210,851,50,833,"1,559","1,661","22,928"
    Percent,"45,642",,7.40%,84.90%,0.50%,1.90%,0.10%,1.80%,3.40%,3.60%,(X)
ZCTA5 19140,,,,,,,,,,,
    Estimate,"54,831",,"7,787","29,117",60,962,137,"13,297","3,471","22,897","23,348"
    Percent,"54,831",,14.20%,53.10%,0.10%,1.80%,0.20%,24.30%,6.30%,41.80%,(X)
ZCTA5 19141,,,,,,,,,,,
    Estimate,"33,641",,"1,478","29,560",0,"1,290",0,364,949,"1,035","15,655"
    Percent,"33,641",,4.40%,87.90%,0.00%,3.80%,0.00%,1.10%,2.80%,3.10%,(X)
ZCTA5 19142,,,,,,,,,,,
    Estimate,"29,993",,"1,730","25,243",149,"1,405",0,617,849,"1,105","12,276"
    Percent,"29,993",,5.80%,84.20%,0.50%,4.70%,0.00%,2.10%,2.80%,3.70%,(X)
ZCTA5 19143,,,,,,,,,,,
    Estimate,"63,861",,"8,776","48,885",75,"1,427",115,867,"3,716","2,894","30,659"
    Percent,"63,861",,13.70%,76.50%,0.10%,2.20%,0.20%,1.40%,5.80%,4.50%,(X)
ZCTA5 19144,,,,,,,,,,,
    Estimate,"46,854",,"8,325","34,885",331,915,0,312,"2,086","1,783","22,613"
    Percent,"46,854",,17.80%,74.50%,0.70%,2.00%,0.00%,0.70%,4.50%,3.80%,(X)
ZCTA5 19145,,,,,,,,,,,
    Estimate,"45,101",,"23,620","12,536",266,"6,379",0,930,"1,370","3,097","20,995"
    Percent,"45,101",,52.40%,27.80%,0.60%,14.10%,0.00%,2.10%,3.00%,6.90%,(X)
ZCTA5 19146,,,,,,,,,,,
    Estimate,"40,983",,"21,835","13,225",21,"2,637",20,"1,136","2,109","3,250","21,028"
    Percent,"40,983",,53.30%,32.30%,0.10%,6.40%,0.00%,2.80%,5.10%,7.90%,(X)
ZCTA5 19147,,,,,,,,,,,
    Estimate,"39,335",,"28,139","3,804",274,"4,139",71,452,"2,456","2,735","20,794"
    Percent,"39,335",,71.50%,9.70%,0.70%,10.50%,0.20%,1.10%,6.20%,7.00%,(X)
ZCTA5 19148,,,,,,,,,,,
    Estimate,"51,010",,"30,760","2,048",106,"11,169",0,"3,805","3,122","8,967","22,155"
    Percent,"51,010",,60.30%,4.00%,0.20%,21.90%,0.00%,7.50%,6.10%,17.60%,(X)
ZCTA5 19149,,,,,,,,,,,
    Estimate,"59,899",,"20,741","14,479",209,"10,980",0,"8,871","4,619","16,407","20,656"
    Percent,"59,899",,34.60%,24.20%,0.30%,18.30%,0.00%,14.80%,7.70%,27.40%,(X)
ZCTA5 19150,,,,,,,,,,,
    Estimate,"22,760",,798,"21,113",38,106,6,197,502,540,"10,690"
    Percent,"22,760",,3.50%,92.80%,0.20%,0.50%,0.00%,0.90%,2.20%,2.40%,(X)
ZCTA5 19151,,,,,,,,,,,
    Estimate,"31,815",,"2,228","28,326",52,292,0,72,845,525,"14,586"
    Percent,"31,815",,7.00%,89.00%,0.20%,0.90%,0.00%,0.20%,2.70%,1.70%,(X)
ZCTA5 19152,,,,,,,,,,,
    Estimate,"35,528",,"20,012","5,952",36,"6,768",0,"1,520","1,240","3,047","14,013"
    Percent,"35,528",,56.30%,16.80%,0.10%,19.00%,0.00%,4.30%,3.50%,8.60%,(X)
ZCTA5 19153,,,,,,,,,,,
    Estimate,"12,810",,"1,401","10,006",12,369,0,137,885,578,"6,160"
    Percent,"12,810",,10.90%,78.10%,0.10%,2.90%,0.00%,1.10%,6.90%,4.50%,(X)
ZCTA5 19154,,,,,,,,,,,
    Estimate,"34,803",,"28,743","2,718",114,"1,484",0,868,876,"3,001","13,421"
    Percent,"34,803",,82.60%,7.80%,0.30%,4.30%,0.00%,2.50%,2.50%,8.60%,(X)
