Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
        Estimate,"9,396",,"27,834",,997
    Percent renter-occupied housing units,,,,,
        Estimate,"9,396",,"27,834",,997
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"12,408",,"21,201",,775
    Percent occupied housing units,,,,,
        Estimate,"12,408",,"21,201",,775
    Owner-occupied housing units,,,,,
        Estimate,"3,933",,"40,966",,551
    Percent owner-occupied housing units,,,,,
        Estimate,"3,933",,"40,966",,551
    Renter-occupied housing units,,,,,
        Estimate,"8,475",,"17,169",,844
    Percent renter-occupied housing units,,,,,
        Estimate,"8,475",,"17,169",,844
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"6,663",,"37,198",,838
    Percent occupied housing units,,,,,
        Estimate,"6,663",,"37,198",,838
    Owner-occupied housing units,,,,,
        Estimate,"2,868",,"59,364",,734
    Percent owner-occupied housing units,,,,,
        Estimate,"2,868",,"59,364",,734
    Renter-occupied housing units,,,,,
        Estimate,"3,795",,"23,771",,880
    Percent renter-occupied housing units,,,,,
        Estimate,"3,795",,"23,771",,880
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"8,021",,"78,444",,"1,562"
    Percent occupied housing units,,,,,
        Estimate,"8,021",,"78,444",,"1,562"
    Owner-occupied housing units,,,,,
        Estimate,"2,656",,"128,385",,"1,910"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,656",,"128,385",,"1,910"
    Renter-occupied housing units,,,,,
        Estimate,"5,365",,"61,107",,"1,407"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,365",,"61,107",,"1,407"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"22,609",,"33,611",,893
    Percent occupied housing units,,,,,
        Estimate,"22,609",,"33,611",,893
    Owner-occupied housing units,,,,,
        Estimate,"12,223",,"45,767",,893
    Percent owner-occupied housing units,,,,,
        Estimate,"12,223",,"45,767",,893
    Renter-occupied housing units,,,,,
        Estimate,"10,386",,"22,405",,894
    Percent renter-occupied housing units,,,,,
        Estimate,"10,386",,"22,405",,894
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"10,556",,"72,990",,"1,241"
    Percent occupied housing units,,,,,
        Estimate,"10,556",,"72,990",,"1,241"
    Owner-occupied housing units,,,,,
        Estimate,"6,709",,"81,717",,"1,219"
    Percent owner-occupied housing units,,,,,
        Estimate,"6,709",,"81,717",,"1,219"
    Renter-occupied housing units,,,,,
        Estimate,"3,847",,"55,505",,"1,273"
    Percent renter-occupied housing units,,,,,
        Estimate,"3,847",,"55,505",,"1,273"
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"5,827",,"44,006",,994
    Percent occupied housing units,,,,,
        Estimate,"5,827",,"44,006",,994
    Owner-occupied housing units,,,,,
        Estimate,"3,274",,"60,759",,"1,059"
    Percent owner-occupied housing units,,,,,
        Estimate,"3,274",,"60,759",,"1,059"
    Renter-occupied housing units,,,,,
        Estimate,"2,553",,"30,304",,961
    Percent renter-occupied housing units,,,,,
        Estimate,"2,553",,"30,304",,961
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,642",,"75,647",,"1,524"
    Percent occupied housing units,,,,,
        Estimate,"2,642",,"75,647",,"1,524"
    Owner-occupied housing units,,,,,
        Estimate,"1,142",,"88,500",,"1,489"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,142",,"88,500",,"1,489"
    Renter-occupied housing units,,,,,
        Estimate,"1,500",,"68,804",,"1,554"
    Percent renter-occupied housing units,,,,,
        Estimate,"1,500",,"68,804",,"1,554"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"16,336",,"74,564",,"1,374"
    Percent occupied housing units,,,,,
        Estimate,"16,336",,"74,564",,"1,374"
    Owner-occupied housing units,,,,,
        Estimate,"9,518",,"92,180",,"1,402"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,518",,"92,180",,"1,402"
    Renter-occupied housing units,,,,,
        Estimate,"6,818",,"57,015",,"1,354"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,818",,"57,015",,"1,354"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,671",,"79,034",,"1,326"
    Percent occupied housing units,,,,,
        Estimate,"4,671",,"79,034",,"1,326"
    Owner-occupied housing units,,,,,
        Estimate,"2,249",,"99,063",,"1,200"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,249",,"99,063",,"1,200"
    Renter-occupied housing units,,,,,
        Estimate,"2,422",,"54,821",,"1,361"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,422",,"54,821",,"1,361"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"13,676",,"84,308",,"1,640"
    Percent occupied housing units,,,,,
        Estimate,"13,676",,"84,308",,"1,640"
    Owner-occupied housing units,,,,,
        Estimate,"5,727",,"118,589",,"1,792"
    Percent owner-occupied housing units,,,,,
        Estimate,"5,727",,"118,589",,"1,792"
    Renter-occupied housing units,,,,,
        Estimate,"7,949",,"71,452",,"1,533"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,949",,"71,452",,"1,533"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"17,524",,"37,345",,930
    Percent occupied housing units,,,,,
        Estimate,"17,524",,"37,345",,930
    Owner-occupied housing units,,,,,
        Estimate,"8,544",,"46,853",,807
    Percent owner-occupied housing units,,,,,
        Estimate,"8,544",,"46,853",,807
    Renter-occupied housing units,,,,,
        Estimate,"8,980",,"29,786",,"1,015"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,980",,"29,786",,"1,015"
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"14,087",,"21,600",,633
    Percent occupied housing units,,,,,
        Estimate,"14,087",,"21,600",,633
    Owner-occupied housing units,,,,,
        Estimate,"6,857",,"28,436",,418
    Percent owner-occupied housing units,,,,,
        Estimate,"6,857",,"28,436",,418
    Renter-occupied housing units,,,,,
        Estimate,"7,230",,"15,303",,853
    Percent renter-occupied housing units,,,,,
        Estimate,"7,230",,"15,303",,853
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"8,957",,"20,353",,562
    Percent occupied housing units,,,,,
        Estimate,"8,957",,"20,353",,562
    Owner-occupied housing units,,,,,
        Estimate,"3,975",,"28,369",,385
    Percent owner-occupied housing units,,,,,
        Estimate,"3,975",,"28,369",,385
    Renter-occupied housing units,,,,,
        Estimate,"4,982",,"17,016",,705
    Percent renter-occupied housing units,,,,,
        Estimate,"4,982",,"17,016",,705
ZCTA5 19134,,,,,
    Occupied housing units,,,,,
        Estimate,"20,398",,"31,533",,823
    Percent occupied housing units,,,,,
        Estimate,"20,398",,"31,533",,823
    Owner-occupied housing units,,,,,
        Estimate,"10,809",,"37,544",,636
    Percent owner-occupied housing units,,,,,
        Estimate,"10,809",,"37,544",,636
    Renter-occupied housing units,,,,,
        Estimate,"9,589",,"25,569",,919
    Percent renter-occupied housing units,,,,,
        Estimate,"9,589",,"25,569",,919
ZCTA5 19135,,,,,
    Occupied housing units,,,,,
        Estimate,"12,070",,"45,589",,912
    Percent occupied housing units,,,,,
        Estimate,"12,070",,"45,589",,912
    Owner-occupied housing units,,,,,
        Estimate,"7,794",,"50,989",,862
    Percent owner-occupied housing units,,,,,
        Estimate,"7,794",,"50,989",,862
    Renter-occupied housing units,,,,,
        Estimate,"4,276",,"36,734",,971
    Percent renter-occupied housing units,,,,,
        Estimate,"4,276",,"36,734",,971
ZCTA5 19136,,,,,
    Occupied housing units,,,,,
        Estimate,"12,332",,"51,101",,936
    Percent occupied housing units,,,,,
        Estimate,"12,332",,"51,101",,936
    Owner-occupied housing units,,,,,
        Estimate,"7,363",,"60,724",,"1,023"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,363",,"60,724",,"1,023"
    Renter-occupied housing units,,,,,
        Estimate,"4,969",,"35,887",,885
    Percent renter-occupied housing units,,,,,
        Estimate,"4,969",,"35,887",,885
ZCTA5 19137,,,,,
    Occupied housing units,,,,,
        Estimate,"3,091",,"53,255",,975
    Percent occupied housing units,,,,,
        Estimate,"3,091",,"53,255",,975
    Owner-occupied housing units,,,,,
        Estimate,"2,454",,"64,057",,955
    Percent owner-occupied housing units,,,,,
        Estimate,"2,454",,"64,057",,955
    Renter-occupied housing units,,,,,
        Estimate,637,,"37,038",,"1,022"
    Percent renter-occupied housing units,,,,,
        Estimate,637,,"37,038",,"1,022"
ZCTA5 19138,,,,,
    Occupied housing units,,,,,
        Estimate,"11,838",,"41,105",,871
    Percent occupied housing units,,,,,
        Estimate,"11,838",,"41,105",,871
    Owner-occupied housing units,,,,,
        Estimate,"8,451",,"45,600",,808
    Percent owner-occupied housing units,,,,,
        Estimate,"8,451",,"45,600",,808
    Renter-occupied housing units,,,,,
        Estimate,"3,387",,"27,378",,972
    Percent renter-occupied housing units,,,,,
        Estimate,"3,387",,"27,378",,972
ZCTA5 19139,,,,,
    Occupied housing units,,,,,
        Estimate,"17,328",,"30,633",,797
    Percent occupied housing units,,,,,
        Estimate,"17,328",,"30,633",,797
    Owner-occupied housing units,,,,,
        Estimate,"6,994",,"39,495",,598
    Percent owner-occupied housing units,,,,,
        Estimate,"6,994",,"39,495",,598
    Renter-occupied housing units,,,,,
        Estimate,"10,334",,"24,194",,880
    Percent renter-occupied housing units,,,,,
        Estimate,"10,334",,"24,194",,880
ZCTA5 19140,,,,,
    Occupied housing units,,,,,
        Estimate,"18,811",,"22,790",,695
    Percent occupied housing units,,,,,
        Estimate,"18,811",,"22,790",,695
    Owner-occupied housing units,,,,,
        Estimate,"9,443",,"28,090",,471
    Percent owner-occupied housing units,,,,,
        Estimate,"9,443",,"28,090",,471
    Renter-occupied housing units,,,,,
        Estimate,"9,368",,"19,886",,865
    Percent renter-occupied housing units,,,,,
        Estimate,"9,368",,"19,886",,865
ZCTA5 19141,,,,,
    Occupied housing units,,,,,
        Estimate,"12,523",,"32,388",,832
    Percent occupied housing units,,,,,
        Estimate,"12,523",,"32,388",,832
    Owner-occupied housing units,,,,,
        Estimate,"6,545",,"50,787",,776
    Percent owner-occupied housing units,,,,,
        Estimate,"6,545",,"50,787",,776
    Renter-occupied housing units,,,,,
        Estimate,"5,978",,"21,794",,853
    Percent renter-occupied housing units,,,,,
        Estimate,"5,978",,"21,794",,853
ZCTA5 19142,,,,,
    Occupied housing units,,,,,
        Estimate,"9,829",,"33,265",,892
    Percent occupied housing units,,,,,
        Estimate,"9,829",,"33,265",,892
    Owner-occupied housing units,,,,,
        Estimate,"5,136",,"41,030",,816
    Percent owner-occupied housing units,,,,,
        Estimate,"5,136",,"41,030",,816
    Renter-occupied housing units,,,,,
        Estimate,"4,693",,"23,448",,974
    Percent renter-occupied housing units,,,,,
        Estimate,"4,693",,"23,448",,974
ZCTA5 19143,,,,,
    Occupied housing units,,,,,
        Estimate,"25,102",,"34,579",,844
    Percent occupied housing units,,,,,
        Estimate,"25,102",,"34,579",,844
    Owner-occupied housing units,,,,,
        Estimate,"11,948",,"44,510",,672
    Percent owner-occupied housing units,,,,,
        Estimate,"11,948",,"44,510",,672
    Renter-occupied housing units,,,,,
        Estimate,"13,154",,"28,281",,942
    Percent renter-occupied housing units,,,,,
        Estimate,"13,154",,"28,281",,942
ZCTA5 19144,,,,,
    Occupied housing units,,,,,
        Estimate,"18,530",,"34,075",,937
    Percent occupied housing units,,,,,
        Estimate,"18,530",,"34,075",,937
    Owner-occupied housing units,,,,,
        Estimate,"7,185",,"60,318",,964
    Percent owner-occupied housing units,,,,,
        Estimate,"7,185",,"60,318",,964
    Renter-occupied housing units,,,,,
        Estimate,"11,345",,"23,137",,927
    Percent renter-occupied housing units,,,,,
        Estimate,"11,345",,"23,137",,927
ZCTA5 19145,,,,,
    Occupied housing units,,,,,
        Estimate,"18,379",,"46,540",,992
    Percent occupied housing units,,,,,
        Estimate,"18,379",,"46,540",,992
    Owner-occupied housing units,,,,,
        Estimate,"11,010",,"58,473",,884
    Percent owner-occupied housing units,,,,,
        Estimate,"11,010",,"58,473",,884
    Renter-occupied housing units,,,,,
        Estimate,"7,369",,"33,245",,"1,054"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,369",,"33,245",,"1,054"
ZCTA5 19146,,,,,
    Occupied housing units,,,,,
        Estimate,"17,200",,"69,305",,"1,309"
    Percent occupied housing units,,,,,
        Estimate,"17,200",,"69,305",,"1,309"
    Owner-occupied housing units,,,,,
        Estimate,"9,168",,"92,206",,"1,417"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,168",,"92,206",,"1,417"
    Renter-occupied housing units,,,,,
        Estimate,"8,032",,"52,963",,"1,258"
    Percent renter-occupied housing units,,,,,
        Estimate,"8,032",,"52,963",,"1,258"
ZCTA5 19147,,,,,
    Occupied housing units,,,,,
        Estimate,"17,390",,"81,519",,"1,451"
    Percent occupied housing units,,,,,
        Estimate,"17,390",,"81,519",,"1,451"
    Owner-occupied housing units,,,,,
        Estimate,"9,584",,"115,370",,"1,595"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,584",,"115,370",,"1,595"
    Renter-occupied housing units,,,,,
        Estimate,"7,806",,"58,625",,"1,328"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,806",,"58,625",,"1,328"
ZCTA5 19148,,,,,
    Occupied housing units,,,,,
        Estimate,"19,261",,"52,001",,991
    Percent occupied housing units,,,,,
        Estimate,"19,261",,"52,001",,991
    Owner-occupied housing units,,,,,
        Estimate,"12,430",,"57,390",,802
    Percent owner-occupied housing units,,,,,
        Estimate,"12,430",,"57,390",,802
    Renter-occupied housing units,,,,,
        Estimate,"6,831",,"42,707",,"1,119"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,831",,"42,707",,"1,119"
ZCTA5 19149,,,,,
    Occupied housing units,,,,,
        Estimate,"18,846",,"45,253",,"1,027"
    Percent occupied housing units,,,,,
        Estimate,"18,846",,"45,253",,"1,027"
    Owner-occupied housing units,,,,,
        Estimate,"11,590",,"50,280",,913
    Percent owner-occupied housing units,,,,,
        Estimate,"11,590",,"50,280",,913
    Renter-occupied housing units,,,,,
        Estimate,"7,256",,"38,350",,"1,149"
    Percent renter-occupied housing units,,,,,
        Estimate,"7,256",,"38,350",,"1,149"
ZCTA5 19150,,,,,
    Occupied housing units,,,,,
        Estimate,"9,834",,"47,968",,"1,039"
    Percent occupied housing units,,,,,
        Estimate,"9,834",,"47,968",,"1,039"
    Owner-occupied housing units,,,,,
        Estimate,"7,152",,"53,796",,"1,014"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,152",,"53,796",,"1,014"
    Renter-occupied housing units,,,,,
        Estimate,"2,682",,"39,291",,"1,080"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,682",,"39,291",,"1,080"
ZCTA5 19151,,,,,
    Occupied housing units,,,,,
        Estimate,"11,780",,"49,788",,"1,048"
    Percent occupied housing units,,,,,
        Estimate,"11,780",,"49,788",,"1,048"
    Owner-occupied housing units,,,,,
        Estimate,"7,802",,"62,942",,"1,082"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,802",,"62,942",,"1,082"
    Renter-occupied housing units,,,,,
        Estimate,"3,978",,"30,576",,995
    Percent renter-occupied housing units,,,,,
        Estimate,"3,978",,"30,576",,995
ZCTA5 19152,,,,,
    Occupied housing units,,,,,
        Estimate,"13,034",,"52,321",,970
    Percent occupied housing units,,,,,
        Estimate,"13,034",,"52,321",,970
    Owner-occupied housing units,,,,,
        Estimate,"8,187",,"64,364",,998
    Percent owner-occupied housing units,,,,,
        Estimate,"8,187",,"64,364",,998
    Renter-occupied housing units,,,,,
        Estimate,"4,847",,"33,040",,960
    Percent renter-occupied housing units,,,,,
        Estimate,"4,847",,"33,040",,960
ZCTA5 19153,,,,,
    Occupied housing units,,,,,
        Estimate,"5,348",,"48,177",,"1,055"
    Percent occupied housing units,,,,,
        Estimate,"5,348",,"48,177",,"1,055"
    Owner-occupied housing units,,,,,
        Estimate,"3,053",,"56,339",,959
    Percent owner-occupied housing units,,,,,
        Estimate,"3,053",,"56,339",,959
    Renter-occupied housing units,,,,,
        Estimate,"2,295",,"36,592",,"1,121"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,295",,"36,592",,"1,121"
ZCTA5 19154,,,,,
    Occupied housing units,,,,,
        Estimate,"12,394",,"67,392",,"1,245"
    Percent occupied housing units,,,,,
        Estimate,"12,394",,"67,392",,"1,245"
    Owner-occupied housing units,,,,,
        Estimate,"9,699",,"78,045",,"1,255"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,699",,"78,045",,"1,255"
    Renter-occupied housing units,,,,,
        Estimate,"2,695",,"50,242",,"1,233"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,695",,"50,242",,"1,233"
